drugbank_id	drugbank_name	chembl	drugbank	pdb	iuphar	pubchem_dotf	kegg_ligand	chebi	nih_ncc	zinc	emolecules	ibm	atlas	ibm_patents	fdasrs	surechembl	pharmgkb	hmdb	selleck	pubchem_tpharma	pubchem	mcule	nmrshiftdb2	lincs	actor	recon	molport	nikkaji	bindingdb
DB00014	Goserelin	3	1	0	1	1	0	0	0	0	1	4	0	0	1	4	1	1	0	1	10	0	0	0	1	0	1	2	0
DB00035	Desmopressin	3	1	0	2	0	1	1	0	0	3	5	0	100	1	7	1	1	0	2	13	0	0	0	2	0	1	3	3
DB00050	Cetrorelix	3	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	4	11	0	0	0	1	0	2	1	1
DB00091	Cyclosporine	6	1	0	1	1	1	1	0	0	12	17	3	0	2	25	1	0	2	14	64	1	0	3	3	0	8	3	3
DB00093	Felypressin	1	1	0	0	0	0	1	0	0	1	2	0	5	0	3	1	0	0	1	5	0	0	0	1	0	0	1	0
DB00104	Octreotide	3	1	0	1	0	1	0	0	0	3	3	0	88	1	7	1	1	0	12	26	0	0	0	0	0	1	2	2
DB00114	Pyridoxal Phosphate	1	1	1	1	0	1	2	0	2	2	1	0	100	1	1	0	1	0	1	4	0	0	0	3	1	0	1	1
DB00115	Cyanocobalamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DB00116	Tetrahydrofolic acid	2	2	2	1	0	1	4	0	4	5	7	0	104	0	7	0	1	0	12	16	0	0	0	1	1	1	5	2
DB00117	L-Histidine	2	1	2	4	0	3	13	0	6	7	6	0	106	1	7	0	1	0	18	55	4	2	0	7	1	4	15	2
DB00118	S-Adenosylmethionine	4	1	1	1	1	1	5	0	6	0	0	0	100	0	16	0	1	0	6	51	0	0	0	2	1	0	9	2
DB00119	Pyruvic acid	1	1	1	1	0	1	2	0	1	2	9	0	0	1	6	1	1	0	9	19	1	1	0	3	1	0	9	2
DB00120	L-Phenylalanine	3	2	2	2	0	3	12	0	2	11	10	0	122	2	25	0	1	0	27	81	3	1	0	6	1	2	26	2
DB00121	Biotin	5	2	2	1	0	1	2	0	7	9	20	0	45	1	14	1	1	1	7	39	2	2	3	3	1	2	4	1
DB00122	Choline	1	1	1	1	0	1	2	0	1	1	3	0	2	2	6	1	1	0	0	27	1	1	0	2	1	0	6	1
DB00123	L-Lysine	3	2	2	2	0	3	12	0	2	3	21	0	11	2	23	0	2	0	12	80	4	4	0	10	1	2	18	1
DB00125	L-Arginine	2	2	3	2	0	3	12	0	4	4	20	0	106	2	16	0	2	0	13	67	2	4	0	10	2	4	10	1
DB00126	Vitamin C	3	1	2	3	1	1	5	0	1	7	4	0	0	2	12	1	1	1	8	23	2	2	0	4	1	4	13	0
DB00127	Spermine	1	1	3	1	0	1	2	0	2	1	1	0	100	1	2	1	1	0	3	8	1	0	0	2	1	0	2	1
DB00128	L-Aspartic Acid	2	3	3	6	0	3	9	0	2	12	13	0	27	2	11	0	2	0	16	67	4	3	0	7	2	2	12	2
DB00129	L-Ornithine	4	1	2	2	0	3	10	0	2	3	7	0	72	2	6	0	3	0	6	32	1	1	0	6	2	2	4	0
DB00130	L-Glutamine	2	2	2	3	0	3	11	0	2	10	12	1	109	2	17	0	2	2	5	45	3	1	1	6	1	2	11	1
DB00131	Adenosine monophosphate	5	1	4	1	1	1	3	0	19	6	9	1	106	2	11	0	1	0	5	47	2	1	2	9	1	2	4	5
DB00132	Alpha-Linolenic Acid	1	1	1	1	0	1	2	0	6	3	2	0	0	1	11	0	2	0	9	26	1	0	1	9	1	1	13	2
DB00133	L-Serine	2	2	2	2	0	3	12	0	2	8	11	1	109	2	12	0	2	0	11	44	3	1	0	6	2	3	23	2
DB00134	L-Methionine	5	2	2	1	1	3	12	0	2	9	13	1	113	3	10	0	2	0	13	55	4	1	0	11	1	2	18	2
DB00135	L-Tyrosine	3	2	2	1	0	3	14	0	2	10	8	0	26	1	9	0	1	0	45	99	4	1	0	9	1	2	19	2
DB00136	Calcitriol	17	2	2	1	1	1	1	1	16	15	30	2	142	3	44	0	1	1	32	130	0	0	2	4	1	1	19	1
DB00137	Xanthophyll	4	1	1	0	0	1	1	0	0	6	10	0	2	1	11	0	6	0	11	24	0	0	0	2	0	1	19	0
DB00138	L-Cystine	2	1	0	1	0	2	6	0	4	7	7	0	211	3	7	0	1	0	6	22	4	1	0	4	1	4	6	1
DB00139	Succinic acid	1	1	1	1	0	1	3	0	2	4	10	0	0	1	10	1	1	0	3	21	1	2	0	2	1	0	10	1
DB00140	Riboflavin	3	1	1	1	1	1	2	0	8	7	7	0	200	3	9	0	1	1	9	27	3	2	2	4	1	2	11	1
DB00141	N-Acetyl-D-glucosamine	1	1	1	0	0	0	2	0	9	7	15	0	261	2	11	0	0	0	4	27	2	0	0	3	0	5	9	0
DB00142	L-Glutamic Acid	2	2	4	2	0	3	10	0	2	9	21	0	55	2	27	0	3	0	16	72	2	1	0	8	1	2	20	5
DB00143	Glutathione	3	1	1	1	0	2	2	0	4	4	8	1	114	1	9	0	1	0	10	33	3	0	0	1	1	1	7	1
DB00144	Phosphatidylserine	0	1	0	1	0	0	0	0	0	0	2	0	100	0	1	0	1	0	0	4	0	0	0	1	0	0	0	0
DB00145	Glycine	1	1	1	3	0	1	4	0	1	9	22	0	0	1	8	1	1	0	10	33	1	1	0	7	1	0	15	1
DB00146	Calcidiol	6	1	1	1	0	1	1	0	13	7	11	0	44	2	33	0	2	1	15	74	0	0	1	2	1	2	10	0
DB00147	Pyridoxal	1	1	1	0	0	1	1	0	1	2	1	0	100	1	1	1	1	0	2	3	1	0	0	1	1	0	1	1
DB00148	Creatine	1	1	1	1	0	1	3	0	1	1	6	1	100	1	2	1	1	0	2	8	1	0	0	1	1	1	1	1
DB00149	L-Leucine	3	2	2	1	0	3	10	0	2	7	14	0	141	2	16	0	2	0	29	99	3	1	0	14	1	2	25	1
DB00150	L-Tryptophan	3	1	2	2	1	3	12	0	2	8	10	0	32	2	21	0	3	0	15	58	5	2	0	4	1	2	21	3
DB00151	L-Cysteine	3	2	2	2	0	3	15	0	2	6	11	1	61	1	8	0	2	0	7	37	4	2	0	7	1	3	17	3
DB00152	Thiamine	1	1	1	2	0	1	2	0	1	1	1	0	100	1	1	0	1	0	0	7	1	0	1	0	1	0	1	1
DB00153	Ergocalciferol	7	1	1	0	0	1	1	0	32	10	13	0	101	1	24	1	1	1	9	82	1	0	1	2	1	2	1	1
DB00154	Dihomo-gamma-linolenic acid	1	1	1	0	0	1	2	0	1	2	1	0	7	1	5	0	1	0	3	13	0	0	1	2	3	0	4	1
