drugbank_id	bindingdb_id
DB00035	50205291
DB00035	50205308
DB00035	85094
DB00050	50369965
DB00091	50022815
DB00091	50150950
DB00091	86672
DB00104	50059090
DB00104	50272772
DB00114	50118216
DB00115	83973
DB00116	50022833
DB00116	50391006
DB00117	7953
DB00117	81938
DB00118	28422
DB00118	50403124
DB00119	19473
DB00119	50159792
DB00120	18073
DB00120	92701
DB00121	12
DB00122	50026220
DB00123	50352165
DB00125	21959
DB00127	79403
DB00128	18125
DB00128	31174
DB00130	93009
DB00131	18137
DB00131	50192453
DB00131	50280244
DB00131	61258
DB00131	92538
DB00132	50240347
DB00132	50448436
DB00133	23167
DB00133	50357212
DB00134	50142500
DB00134	86195
DB00135	18129
DB00135	92702
DB00136	50200182
DB00138	86199
DB00139	26121
DB00140	50362895
DB00142	17657
DB00142	26431
DB00142	50002371
DB00142	50013055
DB00142	93012
DB00143	50422268
DB00145	18133
DB00147	50366979
DB00148	50357229
DB00149	50219348
DB00150	21974
DB00150	50043799
DB00150	92685
DB00151	50109584
DB00151	50109609
DB00151	86203
DB00152	50373877
DB00153	50049515
DB00154	50269534
DB00155	92903
DB00157	50192456
DB00158	50367343
DB00159	50242349
DB00160	50000099
DB00160	50000109
DB00160	92998
DB00161	50357216
DB00161	92994
DB00162	50092056
DB00163	50436220
DB00166	10515
DB00166	50106731
DB00167	18140
DB00169	50147583
DB00170	24778
DB00171	2
DB00171	50192459
DB00171	50366480
DB00171	50422407
DB00172	50000100
DB00172	50000105
DB00172	50357224
DB00173	33218
DB00174	92995
DB00175	20688
DB00175	50006412
DB00175	50368146
DB00176	50028091
DB00176	63804
DB00177	50049186
DB00177	50282371
DB00178	50084681
DB00179	22372
DB00179	32020
DB00179	50150780
DB00181	24182
DB00181	50032963
DB00181	50032964
DB00182	50005246
DB00182	50022721
DB00182	50022723
DB00183	82241
DB00184	50004108
DB00184	82068
DB00184	82070
DB00185	50280535
DB00185	50449645
DB00186	50292627
DB00187	50404796
DB00188	50069989
DB00190	50418773
DB00191	50246598
DB00193	50176259
DB00194	14487
DB00194	50134746
DB00194	50144936
DB00194	82533
DB00195	25752
DB00195	50404948
DB00195	50405521
DB00196	25817
DB00198	5025
DB00199	50127141
DB00199	50344942
DB00199	50421353
DB00199	86313
DB00200	83973
DB00201	10849
DB00202	50061568
DB00203	14390
DB00204	50031720
DB00205	18512
DB00206	50017712
DB00207	50373918
DB00208	85509
DB00210	50048280
DB00212	50077669
DB00213	50241342
DB00213	50409893
DB00214	64107
DB00215	25870
DB00215	50302225
DB00215	86046
DB00218	50366824
DB00220	50061306
DB00220	50366785
DB00220	518
DB00220	81679
DB00221	52083
DB00224	517
DB00227	34168
DB00227	50003235
DB00227	50004774
DB00227	50011206
DB00227	50024628
DB00230	50164279
DB00231	50408032
DB00233	48319
DB00234	35226
DB00234	50124566
DB00234	50370475
DB00235	15296
DB00238	1434
DB00242	38920
DB00242	50008366
DB00244	60918
DB00245	50366775
DB00245	86698
DB00246	50048803
DB00247	30708
DB00247	50031942
DB00248	50426497
DB00248	86052
DB00249	50016788
DB00249	50370388
DB00249	50375780
DB00250	50029764
DB00251	31769
DB00251	50375318
DB00252	39345
DB00252	50003655
DB00255	20625
DB00257	31774
DB00258	50074329
DB00258	50159793
DB00259	10857
DB00260	50038178
DB00260	50357231
DB00261	50000334
DB00262	50015950
DB00263	50034452
DB00264	25756
DB00264	81881
DB00264	81884
DB00266	35525
DB00268	50020680
DB00270	50436176
DB00271	62875
DB00273	10887
DB00274	50350471
DB00275	50241364
DB00276	87351
DB00277	10847
DB00277	82053
DB00278	50038001
DB00278	50091037
DB00278	50113825
DB00279	18860
DB00279	50007
DB00279	50178971
DB00280	50028893
DB00281	50017662
DB00282	12581
DB00283	50253157
DB00283	94606
DB00284	23406
DB00284	50333465
DB00285	50400815
DB00285	50400816
DB00285	82071
DB00286	50366524
DB00287	50150906
DB00289	50022784
DB00289	50366567
DB00291	50003677
DB00292	50125935
DB00292	50125937
DB00293	18795
DB00293	50012040
DB00294	50423516
DB00295	50000092
DB00295	86258
DB00297	50350789
DB00297	50350790
DB00297	50350791
DB00297	50417951
DB00299	50210804
DB00301	50370590
DB00302	50428067
DB00304	50423510
DB00305	50428658
DB00307	50032675
DB00308	50131432
DB00310	25900
DB00311	10882
DB00312	50055935
DB00313	50003616
DB00313	50009834
DB00315	50033383
DB00316	26197
DB00317	5447
DB00318	50019351
DB00318	50105098
DB00318	82266
DB00319	39348
DB00319	50240426
DB00320	50280055
DB00320	50295557
DB00320	86235
DB00321	50020712
DB00322	50340678
DB00323	50108877
DB00324	91406
DB00325	50377921
DB00327	50241341
DB00328	17638
DB00330	50448407
DB00331	50229665
DB00331	57047
DB00332	26980
DB00332	50021892
DB00332	50355610
DB00332	50378083
DB00332	82372
DB00333	82507
DB00334	35254
DB00335	25753
DB00336	50420350
DB00338	50241343
DB00340	79211
DB00341	22890
DB00341	85029
DB00341	85030
DB00342	22879
DB00342	50017376
DB00342	50421337
DB00343	50004704
DB00344	50176062
DB00345	50270006
DB00346	50033110
DB00348	50088804
DB00352	50200099
DB00353	50330860
DB00353	86237
DB00355	50240480
DB00356	50290811
DB00357	50406639
DB00357	50406640
DB00357	9460
DB00358	50022889
DB00358	50131436
DB00358	50151865
DB00358	50377446
DB00358	50377454
DB00358	50377463
DB00358	79170
DB00359	50166571
DB00360	50373697
DB00362	50417554
DB00363	50001884
DB00365	50117924
DB00367	50410522
DB00368	35234
DB00368	50029051
DB00369	31915
DB00370	50115644
DB00372	78436
DB00373	25767
DB00373	50292219
DB00373	50404945
DB00376	81462
DB00377	50000449
DB00377	50000460
DB00377	50000476
DB00377	50417287
DB00379	50117271
DB00379	50135883
DB00379	50135884
DB00382	8961
DB00384	6644
DB00387	50062598
DB00388	36024
DB00389	50275889
DB00390	46355
DB00391	11638
DB00391	81774
DB00391	81775
DB00392	8958
DB00396	8903
DB00397	50022722
DB00397	50367603
DB00397	50405613
DB00397	50405615
DB00398	16673
DB00399	12578
DB00400	31775
DB00404	50001728
DB00405	50017666
DB00408	22871
DB00409	50026045
DB00410	50290686
DB00411	26979
DB00411	50004656
DB00413	50017550
DB00413	50116766
DB00415	50350465
DB00416	26981
DB00417	50370584
DB00419	18355
DB00419	50312526
DB00419	50312528
DB00419	50312530
DB00420	67545
DB00421	50228080
DB00422	50050098
DB00422	50062912
DB00422	50062915
DB00422	50142839
DB00422	85933
DB00424	50403547
DB00424	86231
DB00425	26266
DB00427	50292411
DB00427	86174
DB00429	82227
DB00431	50410525
DB00432	50132298
DB00433	78434
DB00434	50017721
DB00437	35440
DB00438	50420259
DB00439	18376
DB00440	18069
DB00443	18207
DB00443	73823
DB00444	87330
DB00445	22984
DB00445	32022
DB00445	43839
DB00445	50370552
DB00448	47032
DB00450	50017705
DB00451	50225220
DB00451	50301375
DB00452	19
DB00452	50366388
DB00454	50026752
DB00455	22876
DB00456	53513
DB00456	82898
DB00457	29568
DB00458	50010859
DB00461	40128
DB00462	26980
DB00462	37635
DB00462	50015727
DB00462	50241132
DB00465	85511
DB00466	50017684
DB00466	50269961
DB00466	81474
DB00467	50296358
DB00468	50017681
DB00468	50017704
DB00468	50121975
DB00468	50198085
DB00468	50367247
DB00468	50410855
DB00468	50411276
DB00470	50000729
DB00470	50007391
DB00470	86515
DB00471	50052024
DB00471	58922
DB00472	30130
DB00472	50136166
DB00472	81875
DB00475	50007664
DB00476	50136674
DB00476	50136680
DB00476	84745
DB00477	50001888
DB00478	50216627
DB00479	91426
DB00481	19441
DB00482	11639
DB00483	26981
DB00483	50149891
DB00484	34572
DB00485	50005106
DB00485	50350476
DB00486	50287941
DB00487	57936
DB00488	37631
DB00489	25762
DB00490	50001859
DB00491	50242271
DB00493	50335523
DB00493	96523
DB00494	50108879
DB00495	50002692
DB00495	50359627
DB00496	50109647
DB00497	50170965
DB00497	50370595
DB00497	83451
DB00498	50280157
DB00499	50131270
DB00500	50295287
DB00501	22889
DB00501	50403559
DB00502	21398
DB00503	520
DB00504	50016846
DB00504	50326655
DB00504	50326673
DB00504	92849
DB00508	67544
DB00509	50225220
DB00509	50301375
DB00512	50335519
DB00512	58373
DB00513	50357211
DB00514	50003560
DB00514	50366613
DB00515	26979
DB00515	50028111
DB00517	26980
DB00517	39338
DB00518	50241293
DB00519	50021782
DB00519	50369775
DB00519	50405540
DB00519	50452241
DB00521	50040065
DB00523	31883
DB00523	31892
DB00523	50031459
DB00523	50064254
DB00524	25899
DB00525	39349
DB00526	14674
DB00526	92964
DB00527	48532
DB00529	50011181
DB00529	50027536
DB00530	5446
DB00533	22369
DB00534	26979
DB00536	50420178
DB00537	21690
DB00539	58492
DB00540	112777
DB00541	38872
DB00541	50139772
DB00542	50021153
DB00543	22870
DB00544	50340677
DB00545	50313079
DB00546	82439
DB00549	50009073
DB00551	50099857
DB00552	22925
DB00553	50041234
DB00554	85245
DB00555	50031299
DB00557	22875
DB00558	4934
DB00558	50040516
DB00558	50165355
DB00558	50330326
DB00558	5265
DB00559	50061101
DB00563	18050
DB00563	50004545
DB00563	50420238
DB00563	66082
DB00564	50003659
DB00565	92478
DB00566	60868
DB00567	50139896
DB00568	50017657
DB00570	50012278
DB00570	50130852
DB00571	25761
DB00571	36108
DB00571	50246936
DB00571	60973
DB00572	50403547
DB00572	86231
DB00573	54705
DB00574	84738
DB00574	85596
DB00574	85597
DB00575	14062
DB00575	50016897
DB00575	50020341
DB00576	50295558
DB00577	50162073
DB00578	37634
DB00578	50270009
DB00578	92464
DB00579	50005536
DB00580	13063
DB00581	50377984
DB00582	50333117
DB00583	50037268
DB00584	50017129
DB00586	13066
DB00586	50174201
DB00587	50064086
DB00588	50354849
DB00589	22867
DB00589	50056445
DB00589	85531
DB00590	86731
DB00593	50240424
DB00594	16173
DB00598	25758
DB00599	50058058
DB00600	50410520
DB00601	50116067
DB00602	50409816
DB00602	50436203
DB00603	50062404
DB00603	50067678
DB00603	86680
DB00604	50005836
DB00604	50388686
DB00605	50012899
DB00605	54707
DB00606	50192229
DB00608	22985
DB00611	50240437
DB00612	25751
DB00613	50041457
DB00616	50403562
DB00619	13530
DB00620	41132
DB00623	78433
DB00624	50025452
DB00624	50410492
DB00624	8885
DB00625	2483
DB00626	80762
DB00626	83715
DB00627	23515
DB00629	81979
DB00629	96725
DB00630	25313
DB00631	50008368
DB00633	50036913
DB00633	50085683
DB00633	50241196
DB00634	50316126
DB00636	50085047
DB00637	24226
DB00639	79206
DB00640	14487
DB00640	50134746
DB00640	50144936
DB00640	82533
DB00641	50003240
DB00641	50139181
DB00642	18796
DB00643	50180753
DB00644	50422274
DB00647	82269
DB00647	83452
DB00649	50013111
DB00650	286
DB00650	50039121
DB00651	82016
DB00652	50001028
DB00652	50001033
DB00652	50032403
DB00652	50035131
DB00652	50170663
DB00652	50407300
DB00652	50423875
DB00653	26992
DB00654	50150899
DB00654	50240648
DB00654	50423647
DB00655	17289
DB00656	50073444
DB00657	50061565
DB00657	50369323
DB00661	50005628
DB00661	50338982
DB00661	81939
DB00665	50135912
DB00666	84707
DB00667	14671
DB00667	50080995
DB00667	50155534
DB00667	50155537
DB00667	7966
DB00668	44818
DB00668	50029050
DB00668	50087512
DB00668	84342
DB00669	50005835
DB00670	39341
DB00671	84005
DB00671	84007
DB00671	88962
DB00672	50344965
DB00673	50106711
DB00673	50220136
DB00674	10404
DB00675	20607
DB00676	50134035
DB00677	50022772
DB00678	82258
DB00679	50002338
DB00681	83198
DB00681	96548
DB00682	50343352
DB00683	21363
DB00684	50366778
DB00685	38912
DB00691	50084673
DB00691	50452252
DB00692	31046
DB00694	32017
DB00694	50368352
DB00695	25902
DB00696	50027065
DB00696	86529
DB00697	50240671
DB00698	57045
DB00700	50318300
DB00701	50163391
DB00701	577
DB00703	10881
DB00703	50013792
DB00704	50000787
DB00704	60212
DB00704	86493
DB00705	1944
DB00706	50060964
DB00706	86846
DB00708	94503
DB00709	50039162
DB00709	50366817
DB00710	12577
DB00712	50074922
DB00712	50172473
DB00712	50172479
DB00713	50350483
DB00714	29643
DB00714	29644
DB00714	50001955
DB00714	86896
DB00715	22416
DB00715	50331515
DB00715	86422
DB00717	50148732
DB00719	22868
DB00720	50216172
DB00721	64452
DB00722	50367879
DB00722	66979
DB00723	50026777
DB00724	50240849
DB00725	26980
DB00726	50240410
DB00729	74260
DB00730	50121347
DB00731	50344967
DB00732	92478
DB00734	50001885
DB00735	50170647
DB00736	50241343
DB00737	81467
DB00738	45440
DB00740	30705
DB00741	13775
DB00744	50000541
DB00744	50320449
DB00744	50418083
DB00745	50156055
DB00745	50336892
DB00745	50336893
DB00746	47715
DB00747	50015720
DB00747	50368127
DB00747	50452855
DB00748	81464
DB00749	50016799
DB00751	50131441
DB00752	50028544
DB00752	50113851
DB00752	50236898
DB00752	50240772
DB00752	50261814
DB00755	31883
DB00755	31892
DB00755	50031459
DB00755	50064254
DB00756	31712
DB00757	50131427
DB00757	50366823
DB00757	50451546
DB00758	50318910
DB00758	50397662
DB00761	26979
DB00762	50128267
DB00762	51762
DB00763	50241361
DB00766	50021959
DB00766	50033685
DB00766	50240349
DB00768	50002093
DB00768	50002096
DB00770	50101828
DB00770	50101853
DB00770	82098
DB00771	50369230
DB00772	85372
DB00773	50127140
DB00774	25897
DB00775	50004058
DB00775	50039584
DB00776	34179
DB00778	50417959
DB00778	91198
DB00779	21691
DB00780	50105417
DB00781	50410807
DB00783	17292
DB00783	20624
DB00783	50005414
DB00784	50134036
DB00786	50063917
DB00786	50084665
DB00787	50021776
DB00788	50009860
DB00788	50339185
DB00788	54693
DB00788	54704
DB00792	81471
DB00793	50194601
DB00795	50097125
DB00796	50240609
DB00797	55436
DB00798	50366389
DB00799	50265951
DB00800	50049796
DB00800	60917
DB00801	50408018
DB00802	83450
DB00804	50010101
DB00805	50074289
DB00806	10850
DB00808	25901
DB00809	82371
DB00810	50240680
DB00811	50154375
DB00813	50008984
DB00814	50056998
DB00816	50295572
DB00818	50058046
DB00819	10880
DB00820	14777
DB00820	50134134
DB00820	50134147
DB00820	50134149
DB00821	50097346
DB00821	50397557
DB00821	50397558
DB00822	50058655
DB00824	50001493
DB00825	50318482
DB00826	50370755
DB00827	39350
DB00828	50024894
DB00829	50000766
DB00831	79181
DB00833	42131
DB00834	18627
DB00834	50072024
DB00834	86689
DB00835	50017666
DB00836	50017698
DB00841	50325274
DB00842	85031
DB00843	50037176
DB00843	50037187
DB00843	50422179
DB00843	8960
DB00844	50105085
DB00845	50318909
DB00845	50378783
DB00847	7968
DB00848	50241179
DB00850	50130273
DB00852	36014
DB00852	86284
DB00853	50034562
DB00854	50001000
DB00854	50003571
DB00854	50017233
DB00854	50369518
DB00854	82427
DB00855	50240386
DB00857	50018518
DB00859	39346
DB00859	50217941
DB00859	50311534
DB00860	19190
DB00861	50240510
DB00862	14776
DB00862	50111900
DB00864	50030448
DB00864	50064355
DB00864	50079777
DB00866	25764
DB00867	97162
DB00869	10884
DB00869	13054
DB00869	50041042
DB00869	50043906
DB00869	50094370
DB00870	50090676
DB00871	25770
DB00872	85095
DB00876	50011977
DB00877	36608
DB00877	36609
DB00877	50064359
DB00877	92863
DB00878	50170723
DB00878	51937
DB00878	64773
DB00880	39351
DB00881	50368166
DB00881	50452254
DB00881	50452255
DB00882	55354
DB00882	71545
DB00884	12576
DB00886	50073120
DB00887	25903
DB00889	50000483
DB00889	50443668
DB00889	50449636
DB00890	40491
DB00891	39340
DB00894	50014325
DB00894	50367848
DB00895	50352165
DB00897	50001765
DB00900	50404252
DB00902	81470
DB00903	50186231
DB00904	50241365
DB00904	85330
DB00906	50039251
DB00906	50368628
DB00907	22418
DB00907	50005532
DB00907	50005535
DB00907	50011691
DB00907	50042491
DB00907	50279749
DB00907	50279752
DB00907	50368238
DB00907	50454451
DB00907	50455945
DB00907	86207
DB00908	50017681
DB00908	50017704
DB00908	50121975
DB00908	50198085
DB00908	50367247
DB00908	50410855
DB00908	50411276
DB00909	10888
DB00912	50153520
DB00914	50240908
DB00915	50033369
DB00916	50375309
DB00917	35847
DB00917	50101822
DB00917	50213982
DB00920	50002087
DB00920	94597
DB00921	50028147
DB00921	50354578
DB00924	112774
DB00925	50017679
DB00927	22891
DB00927	50036754
DB00928	50424715
DB00929	85178
DB00929	85606
DB00933	50131440
DB00933	50370414
DB00934	35228
DB00934	50378025
DB00935	30712
DB00936	26193
DB00936	85513
DB00938	25771
DB00939	22971
DB00939	50012896
DB00941	50016845
DB00943	50145605
DB00945	22360
DB00945	50420241
DB00946	50408935
DB00946	768
DB00947	50169743
DB00950	22874
DB00951	50336507
DB00952	50073682
DB00953	50033437
DB00954	59397
DB00956	50386689
DB00958	50274681
DB00960	50019443
DB00960	50072755
DB00961	50417964
DB00962	86521
DB00964	50021812
DB00964	81926
DB00966	50043280
DB00967	50073179
DB00968	48449
DB00969	50014558
DB00969	93624
DB00970	43866
DB00970	50089528
DB00972	50341448
DB00973	50371521
DB00973	87018
DB00974	50330325
DB00975	23620
DB00976	50378137
DB00977	50187243
DB00978	50417952
DB00979	82375
DB00980	50118470
DB00981	10608
DB00981	10609
DB00981	10709
DB00981	11023
DB00981	50004000
DB00981	50222010
DB00981	50326255
DB00982	31883
DB00982	31892
DB00982	50031459
DB00982	50064254
DB00983	50151720
DB00983	86453
DB00985	50017674
DB00986	50417445
DB00987	50087289
DB00988	55121
DB00989	10620
DB00989	11682
DB00990	50398447
DB00991	50002861
DB00993	50373919
DB00994	19
DB00994	50366388
DB00995	50153291
DB00996	50080153
DB00997	22984
DB00997	32022
DB00997	43839
DB00997	50370552
DB00998	50073689
DB00999	13076
DB01000	50350474
DB01001	25769
DB01001	50361247
DB01002	50350789
DB01002	50350790
DB01002	50350791
DB01002	50417951
DB01003	50404862
DB01003	50440033
DB01004	85707
DB01005	50017811
DB01006	13061
DB01007	50370218
DB01009	50022271
DB01009	50088570
DB01009	50169048
DB01010	120262
DB01011	50028166
DB01012	50416875
DB01013	39347
DB01015	50029770
DB01016	50012957
DB01018	81984
DB01019	39342
DB01021	26998
DB01022	24782
DB01024	19264
DB01026	31768
DB01026	50004441
DB01026	50004442
DB01026	8610
DB01029	50042235
