drugbank_id	chebi_id
DB00035	4450
DB00035	59728
DB00050	31387
DB00050	59224
DB00091	4031
DB00093	60564
DB00114	18405
DB00114	597326
DB00115	29306
DB00116	15635
DB00116	20506
DB00116	57453
DB00116	68437
DB00117	15971
DB00117	27570
DB00117	27947
DB00117	32510
DB00117	32512
DB00117	32513
DB00117	32523
DB00117	32526
DB00117	32527
DB00117	32529
DB00117	32531
DB00117	32532
DB00117	57595
DB00118	15414
DB00118	33440
DB00118	33442
DB00118	59789
DB00118	67040
DB00119	15361
DB00119	32816
DB00120	16998
DB00120	17295
DB00120	28044
DB00120	32486
DB00120	32487
DB00120	32494
DB00120	32495
DB00120	32504
DB00120	32505
DB00120	57981
DB00120	58095
DB00120	76052
DB00121	15956
DB00121	57586
DB00122	15354
DB00122	72322
DB00123	16855
DB00123	18019
DB00123	25094
DB00123	32550
DB00123	32551
DB00123	32552
DB00123	32556
DB00123	32557
DB00123	32558
DB00123	32563
DB00123	32564
DB00123	32565
DB00125	15816
DB00125	16467
DB00125	29016
DB00125	32681
DB00125	32682
DB00125	32683
DB00125	32688
DB00125	32689
DB00125	32690
DB00125	32695
DB00125	32696
DB00125	32697
DB00126	29073
DB00126	38290
DB00126	51384
DB00126	51438
DB00126	51440
DB00127	15746
DB00127	45725
DB00128	17053
DB00128	17364
DB00128	22660
DB00128	29990
DB00128	29991
DB00128	29993
DB00128	29994
DB00128	29995
DB00128	35391
DB00129	15729
DB00129	16176
DB00129	18257
DB00129	32964
DB00129	44667
DB00129	46911
DB00129	46912
DB00129	46913
DB00129	46914
DB00129	57668
DB00130	17061
DB00130	18050
DB00130	28300
DB00130	32665
DB00130	32666
DB00130	32672
DB00130	32673
DB00130	32678
DB00130	32679
DB00130	58000
DB00130	58359
DB00131	16027
DB00131	40721
DB00131	456215
DB00132	27432
DB00132	32387
DB00133	16523
DB00133	17115
DB00133	17822
DB00133	32836
DB00133	32837
DB00133	32840
DB00133	32841
DB00133	32845
DB00133	32846
DB00133	33384
DB00133	35243
DB00133	35247
DB00134	16643
DB00134	16811
DB00134	16867
DB00134	32631
DB00134	32632
DB00134	32637
DB00134	32638
DB00134	32644
DB00134	32646
DB00134	57844
DB00134	57932
DB00134	64558
DB00135	17895
DB00135	18186
DB00135	28479
