drugbank_id	chembl_id
DB00014	CHEMBL1200501
DB00014	CHEMBL1201247
DB00014	CHEMBL2130530
DB00014	CHEMBL2133738
DB00035	CHEMBL1200556
DB00035	CHEMBL1429
DB00035	CHEMBL2138698
DB00035	CHEMBL2358584
DB00035	CHEMBL264448
DB00035	CHEMBL376685
DB00050	CHEMBL1200490
DB00050	CHEMBL2103735
DB00050	CHEMBL437919
DB00050	CHEMBL438829
DB00091	CHEMBL160
DB00091	CHEMBL384718
DB00091	CHEMBL386389
DB00091	CHEMBL406253
DB00091	CHEMBL532318
DB00091	CHEMBL602375
DB00093	CHEMBL3185126
DB00104	CHEMBL1200480
DB00104	CHEMBL1680
DB00104	CHEMBL2000504
DB00104	CHEMBL2105834
DB00104	CHEMBL262746
DB00104	CHEMBL3182554
DB00114	CHEMBL2105360
DB00114	CHEMBL3181870
DB00114	CHEMBL82202
DB00116	CHEMBL2021342
DB00116	CHEMBL2074655
DB00117	CHEMBL104875
DB00117	CHEMBL17962
DB00118	CHEMBL1088977
DB00118	CHEMBL2115571
DB00118	CHEMBL2220241
DB00118	CHEMBL224120
DB00118	CHEMBL24991
DB00118	CHEMBL541411
DB00119	CHEMBL1162144
DB00120	CHEMBL25080
DB00120	CHEMBL301523
DB00120	CHEMBL379630
DB00121	CHEMBL1315356
DB00121	CHEMBL1434820
DB00121	CHEMBL1527083
DB00121	CHEMBL1612121
DB00121	CHEMBL857
DB00122	CHEMBL920
DB00123	CHEMBL28328
DB00123	CHEMBL319497
DB00123	CHEMBL8085
DB00125	CHEMBL1485
DB00125	CHEMBL212301
DB00126	CHEMBL1161421
DB00126	CHEMBL196
DB00126	CHEMBL486293
DB00127	CHEMBL1256357
DB00127	CHEMBL1556584
DB00127	CHEMBL23194
DB00128	CHEMBL274323
DB00128	CHEMBL29757
DB00129	CHEMBL103686
DB00129	CHEMBL1235016
DB00129	CHEMBL2009502
DB00129	CHEMBL446143
DB00130	CHEMBL1232207
DB00130	CHEMBL930
DB00131	CHEMBL1230732
DB00131	CHEMBL16720
DB00131	CHEMBL603811
DB00131	CHEMBL608290
DB00131	CHEMBL752
DB00132	CHEMBL3122087
DB00132	CHEMBL3137327
DB00132	CHEMBL8739
DB00133	CHEMBL11298
DB00133	CHEMBL285123
DB00134	CHEMBL1234268
DB00134	CHEMBL1770614
DB00134	CHEMBL2106977
DB00134	CHEMBL274119
DB00134	CHEMBL42336
DB00135	CHEMBL1076637
DB00135	CHEMBL108615
DB00135	CHEMBL925
DB00136	CHEMBL117431
DB00136	CHEMBL159112
DB00136	CHEMBL1790206
DB00136	CHEMBL181065
DB00136	CHEMBL266135
DB00136	CHEMBL267223
DB00136	CHEMBL297508
DB00136	CHEMBL298498
DB00136	CHEMBL305605
DB00136	CHEMBL3186802
DB00136	CHEMBL333052
DB00136	CHEMBL36592
DB00136	CHEMBL421245
DB00136	CHEMBL442191
DB00136	CHEMBL55542
DB00136	CHEMBL578780
DB00136	CHEMBL846
DB00137	CHEMBL1559643
DB00137	CHEMBL172477
DB00137	CHEMBL173929
DB00137	CHEMBL1979448
DB00138	CHEMBL366563
DB00138	CHEMBL590540
DB00139	CHEMBL576
DB00140	CHEMBL1397833
DB00140	CHEMBL1534
DB00140	CHEMBL511565
DB00141	CHEMBL3182062
DB00142	CHEMBL575060
DB00142	CHEMBL76232
DB00143	CHEMBL100476
DB00143	CHEMBL1514919
DB00143	CHEMBL1543
DB00145	CHEMBL773
DB00146	CHEMBL1040
DB00146	CHEMBL1222
DB00146	CHEMBL15596
DB00146	CHEMBL1599212
DB00146	CHEMBL3250186
DB00146	CHEMBL80554
DB00147	CHEMBL102970
DB00147	CHEMBL543846
DB00148	CHEMBL283800
DB00149	CHEMBL1232258
DB00149	CHEMBL291962
DB00149	CHEMBL46575
DB00150	CHEMBL292303
DB00150	CHEMBL484901
DB00150	CHEMBL54976
DB00151	CHEMBL171281
DB00151	CHEMBL54943
DB00151	CHEMBL863
DB00152	CHEMBL1547
DB00153	CHEMBL1356115
DB00153	CHEMBL1365846
DB00153	CHEMBL1375178
DB00153	CHEMBL1436587
DB00153	CHEMBL1512227
DB00153	CHEMBL1536
DB00153	CHEMBL50241
DB00154	CHEMBL3274189
DB00154	CHEMBL465183
DB00155	CHEMBL444814
DB00156	CHEMBL1734340
DB00156	CHEMBL291747
DB00156	CHEMBL30037
DB00156	CHEMBL319354
DB00156	CHEMBL555743
DB00156	CHEMBL59238
DB00157	CHEMBL1161866
DB00157	CHEMBL1628105
DB00158	CHEMBL1622
DB00158	CHEMBL277040
DB00159	CHEMBL3137327
DB00159	CHEMBL460026
DB00160	CHEMBL12198
DB00160	CHEMBL279597
DB00160	CHEMBL66693
DB00161	CHEMBL11257
DB00161	CHEMBL1232398
DB00161	CHEMBL43068
DB00162	CHEMBL1454290
DB00162	CHEMBL1595345
DB00162	CHEMBL3137697
DB00162	CHEMBL986
DB00163	CHEMBL442800
DB00163	CHEMBL47
DB00163	CHEMBL49563
DB00165	CHEMBL1364
DB00166	CHEMBL1234071
DB00166	CHEMBL134342
DB00166	CHEMBL33864
DB00167	CHEMBL1233584
DB00167	CHEMBL1720399
DB00167	CHEMBL1867019
DB00167	CHEMBL1869615
DB00167	CHEMBL297800
DB00167	CHEMBL56053
DB00168	CHEMBL171679
DB00168	CHEMBL2110238
DB00168	CHEMBL312245
DB00169	CHEMBL1042
DB00169	CHEMBL1236645
DB00169	CHEMBL1354424
DB00169	CHEMBL1365250
DB00169	CHEMBL1456744
DB00169	CHEMBL1475972
DB00169	CHEMBL1949934
DB00169	CHEMBL1966661
DB00169	CHEMBL432780
DB00170	CHEMBL590
DB00171	CHEMBL14249
DB00171	CHEMBL1447572
DB00171	CHEMBL2106579
DB00171	CHEMBL2364734
DB00171	CHEMBL2364735
DB00171	CHEMBL609794
DB00172	CHEMBL54922
DB00172	CHEMBL72275
DB00172	CHEMBL80257
DB00173	CHEMBL226345
DB00174	CHEMBL1232369
DB00174	CHEMBL58832
DB00175	CHEMBL1144
DB00175	CHEMBL1317360
DB00175	CHEMBL1617336
DB00175	CHEMBL690
