drugbank_id	fdasrs_id
DB00014	0F65R8P09N
DB00035	1K12647SFC
DB00035	242K8LE2BC
DB00035	ENR1LLB0FP
DB00035	XB13HYU18U
DB00050	OON1HFZ4BA
DB00091	83HN0GTJ6D
DB00091	FUO6O3NDNH
DB00104	RWM8CCW8GP
DB00114	1JJ4V52LB5
DB00114	3RX65N0VN7
DB00114	5V5IOJ8338
DB00114	F06SGE49M6
DB00117	4QD397987E
DB00118	B02SK72839
DB00119	8558G7RUTR
DB00120	032K16VRCU
DB00120	47E5O17Y3R
DB00121	6SO6U10H04
DB00122	M4AS4XGD4Q
DB00122	N91BDP6H0X
DB00123	3HQ6U6424Q
DB00123	K3Z4F929H6
DB00125	94ZLA3W45F
DB00125	R54Z304Z7C
DB00126	311332OII1
DB00126	PQ6CK8PD0R
DB00127	2FZ7Y3VOQX
DB00127	9CI1570O48
DB00128	30KYC7MIAI
DB00128	4SR0Q8YD1X
DB00129	2H368YCK0U
DB00129	E524N2IXA3
DB00130	0RH81L854J
DB00130	63HB36CA2Y
DB00131	106XV160TZ
DB00131	415SHH325A
DB00132	0RBV727H71
DB00132	I5OYY436YI
DB00133	1K77H2Z9B1
DB00133	452VLY9402
DB00134	868496F25R
DB00134	AE28F7PNPL
DB00134	ED857BWP29
DB00135	42HK56048U
DB00136	97SK7L66LH
DB00136	FXC9231JVH
DB00136	I1L29CLX3C
DB00136	IR1PLU81NA
DB00137	X72A60C9MT
DB00138	48TCX9A1VT
DB00138	KQY8R188E2
DB00138	KX1RHN0Y0B
DB00139	AB6MNQ6J6L
DB00140	04SRR95RP8
DB00140	STP460337X
DB00140	TLM2976OFR
DB00140	U16E01V13F
DB00141	V956696549
DB00141	X80PR7P73R
DB00142	3KX376GY7L
DB00142	Q479989WEA
DB00143	GAN16C9B8O
DB00145	TE7660XO1C
DB00146	P6YZ13C99Q
DB00146	SN331791VY
DB00146	T0WXW8F54E
DB00147	1416KF0QBC
DB00147	3THM379K8A
DB00147	JJQ4DJV03Q
DB00148	MU72812GK0
DB00149	965COD96YA
DB00149	GMW67QNF9C
DB00150	7NS97N9H1G
DB00150	8DUH1N11BX
DB00151	K848JZ4886
DB00152	4ABT0J945J
DB00153	VS041H42XC
DB00154	FC398RK06S
DB00155	29VT07BGDA
DB00155	UVA0OHH18U
DB00156	2ZD004190S
DB00156	HCQ253CKVK
DB00157	4J24DQ0916
DB00157	8295030YNC
DB00158	935E97BOY8
DB00159	5PXN91KPRO
DB00159	AAN7QOV9EA
DB00159	CG73ERQ805
DB00160	E3UDS4613U
DB00160	OF5P57N2ZX
DB00161	HG18B9YRS7
DB00161	Y14I1443UR
DB00162	G2SH0XKK91
DB00163	N9PR3490H9
DB00165	KV2JZ1BI6Z
DB00166	HK7B1AJA3Q
DB00166	J2Y905FQ57
DB00166	VLL71EBS9Z
DB00167	04Y7590D77
DB00167	6RNR8XN7S2
DB00167	886W169S1R
DB00167	V87GJA0G54
DB00168	IFE6C6BS24
DB00168	MH4IO18KU0
DB00168	Z0H242BBR1
DB00169	1C6V77QF41
DB00170	723JX6CXY5
DB00171	3XA63UXU26
DB00171	5L51B4DR1G
DB00171	7ZRM409FOZ
DB00171	8L70Q75FXE
DB00172	9DLQ4CIU6V
DB00173	JAC85A2161
DB00174	7NG0A2TUHQ
DB00174	T6QV1010K6
DB00175	3M8608UQ61
DB00175	K4A67XJY6V
DB00175	KXO2KT9N0G
DB00175	R76ZW7E32P
DB00176	4E72PH61HL
DB00176	5LGN83G74V
DB00176	O4L1XPO44W
DB00177	80M03YXJ7I
DB00177	IDC67444MI
DB00178	5COV0OAU1T
DB00178	9947X9J31M
DB00178	E7CEJ08B2F
DB00178	L35JN3I7SJ
DB00178	MFY4AI76OW
DB00179	7BO8G1BYQU
DB00180	78M02AA8KF
DB00180	QK4DYS664X
DB00181	3OHN4989XM
DB00181	799SU69U5P
DB00181	8703929ITD
DB00181	NYU6UTW25B
DB00182	R87US8P740
DB00182	TZ47U051FI
DB00184	42XNU684Z1
