drugbank_id	hmdb_id
DB00014	HMDB14259
DB00035	HMDB14260
DB00050	HMDB14261
DB00104	HMDB14262
DB00114	HMDB01491
DB00115	HMDB00607
DB00116	HMDB01846
DB00117	HMDB00177
DB00118	HMDB01185
DB00119	HMDB00243
DB00120	HMDB00159
DB00121	HMDB00030
DB00122	HMDB00097
DB00123	HMDB00182
DB00123	HMDB03405
DB00125	HMDB00517
DB00125	HMDB03416
DB00126	HMDB00044
DB00127	HMDB01256
DB00128	HMDB00191
DB00128	HMDB06483
DB00129	HMDB00214
DB00129	HMDB03374
DB00129	HMDB32455
DB00130	HMDB00641
DB00130	HMDB03423
DB00131	HMDB00045
DB00132	HMDB01388
DB00132	HMDB30964
DB00133	HMDB00187
DB00133	HMDB03406
DB00134	HMDB00696
DB00134	HMDB33951
DB00135	HMDB00158
DB00136	HMDB01903
DB00137	HMDB02198
DB00137	HMDB02950
DB00137	HMDB03233
DB00137	HMDB03415
DB00137	HMDB03451
DB00137	HMDB14284
DB00138	HMDB00192
DB00139	HMDB00254
DB00140	HMDB00244
DB00142	HMDB00148
DB00142	HMDB03339
DB00142	HMDB60475
DB00143	HMDB00125
DB00144	HMDB14291
DB00145	HMDB00123
DB00146	HMDB03550
DB00146	HMDB06721
DB00147	HMDB01545
DB00148	HMDB00064
DB00149	HMDB00687
DB00149	HMDB13773
DB00150	HMDB00929
DB00150	HMDB13609
DB00150	HMDB30396
DB00151	HMDB00574
DB00151	HMDB03417
DB00152	HMDB00235
DB00153	HMDB00900
DB00154	HMDB02925
DB00155	HMDB00904
DB00156	HMDB00167
DB00156	HMDB04041
DB00157	HMDB01487
DB00158	HMDB00121
DB00159	HMDB01999
DB00160	HMDB00161
DB00160	HMDB01310
DB00161	HMDB00883
DB00162	HMDB00305
DB00162	HMDB06216
DB00162	HMDB06217
DB00162	HMDB06221
DB00163	HMDB01893
DB00165	HMDB00239
DB00166	HMDB01451
DB00166	HMDB14312
DB00167	HMDB00172
DB00167	HMDB00557
DB00167	HMDB33923
DB00168	HMDB01894
DB00169	HMDB00876
DB00169	HMDB06719
DB00169	HMDB14315
DB00170	HMDB01892
DB00171	HMDB00538
DB00172	HMDB00162
DB00172	HMDB03411
DB00173	HMDB00034
DB00174	HMDB00168
DB00174	HMDB33780
DB00175	HMDB05022
DB00176	HMDB14322
DB00177	HMDB14323
DB00178	HMDB14324
DB00179	HMDB12270
DB00179	HMDB14325
DB00180	HMDB14326
DB00181	HMDB14327
DB00182	HMDB12128
DB00182	HMDB14328
DB00182	HMDB15516
DB00183	HMDB14329
DB00184	HMDB01934
DB00184	HMDB14330
DB00185	HMDB14331
DB00185	HMDB61079
DB00185	HMDB61080
DB00185	HMDB61081
DB00186	HMDB14332
DB00187	HMDB14333
DB00188	HMDB14334
DB00189	HMDB14335
DB00190	HMDB01039
DB00190	HMDB02111
DB00190	HMDB14336
DB00191	HMDB14337
DB00192	HMDB14338
DB00193	HMDB14339
DB00194	HMDB00050
DB00194	HMDB14340
DB00195	HMDB14341
DB00196	HMDB14342
DB00198	HMDB14343
DB00199	HMDB14344
DB00200	HMDB01039
DB00200	HMDB02111
DB00200	HMDB03458
DB00201	HMDB01847
DB00202	HMDB14347
DB00203	HMDB05039
DB00204	HMDB14349
DB00205	HMDB14350
DB00206	HMDB14351
DB00207	HMDB01916
DB00207	HMDB14352
DB00208	HMDB14353
DB00209	HMDB14354
DB00209	HMDB42055
DB00210	HMDB14355
DB00211	HMDB14356
DB00212	HMDB14357
DB00213	HMDB05017
DB00214	HMDB14359
DB00215	HMDB05028
DB00215	HMDB05038
DB00216	HMDB14361
DB00217	HMDB14362
DB00218	HMDB14363
DB00219	HMDB14364
DB00220	HMDB14365
DB00221	HMDB14366
DB00222	HMDB14367
DB00223	HMDB14368
DB00224	HMDB14369
DB00225	HMDB01039
DB00225	HMDB02111
DB00225	HMDB14370
DB00226	HMDB14371
DB00227	HMDB14372
DB00228	HMDB14373
DB00229	HMDB14374
DB00230	HMDB14375
DB00231	HMDB14376
DB00232	HMDB14377
DB00233	HMDB14378
DB00234	HMDB14379
DB00235	HMDB14380
DB00236	HMDB14381
DB00237	HMDB14382
DB00238	HMDB14383
DB00239	HMDB14384
DB00240	HMDB14385
DB00241	HMDB14386
DB00242	HMDB14387
DB00243	HMDB14388
DB00244	HMDB14389
DB00245	HMDB14390
DB00246	HMDB14391
DB00247	HMDB14392
DB00248	HMDB14393
DB00249	HMDB14394
DB00250	HMDB14395
DB00251	HMDB14396
DB00252	HMDB14397
DB00253	HMDB14398
DB00254	HMDB14399
DB00255	HMDB14400
DB00256	HMDB14401
DB00257	HMDB01922
DB00258	HMDB00042
DB00258	HMDB00464
DB00259	HMDB14404
DB00260	HMDB14405
DB00261	HMDB14406
DB00262	HMDB14407
DB00263	HMDB14408
DB00264	HMDB01932
DB00265	HMDB14410
DB00266	HMDB14411
DB00267	HMDB14412
DB00268	HMDB14413
DB00269	HMDB14414
DB00270	HMDB14415
DB00271	HMDB14416
DB00272	HMDB14417
DB00273	HMDB05034
DB00274	HMDB14419
DB00275	HMDB14420
DB00276	HMDB14421
DB00277	HMDB01889
DB00278	HMDB14423
DB00279	HMDB00265
DB00279	HMDB15523
DB00280	HMDB14425
DB00281	HMDB14426
DB00282	HMDB14427
DB00283	HMDB14428
DB00284	HMDB14429
DB00285	HMDB05016
DB00285	HMDB61166
DB00286	HMDB00588
DB00286	HMDB01425
DB00287	HMDB14432
DB00288	HMDB14433
DB00289	HMDB14434
DB00290	HMDB14435
DB00291	HMDB14436
DB00292	HMDB14437
DB00293	HMDB14438
DB00294	HMDB14439
DB00295	HMDB14440
DB00295	HMDB40987
DB00296	HMDB14441
DB00297	HMDB14442
DB00297	HMDB15137
DB00298	HMDB14443
DB00299	HMDB14444
DB00300	HMDB14445
DB00301	HMDB14446
DB00302	HMDB14447
DB00303	HMDB14448
