drugbank_id	kegg_ligand_id
DB00035	C06944
DB00091	C05086
DB00104	C07306
DB00114	C00018
DB00116	C00101
DB00117	C00135
DB00117	C00768
DB00117	C06419
DB00118	C00019
DB00119	C00022
DB00120	C00079
DB00120	C02057
DB00120	C02265
DB00121	C00120
DB00122	C00114
DB00123	C00047
DB00123	C00739
DB00123	C16440
DB00125	C00062
DB00125	C00792
DB00125	C02385
DB00126	C00072
DB00127	C00750
DB00128	C00049
DB00128	C00402
DB00128	C16433
DB00129	C00077
DB00129	C00515
DB00129	C01602
DB00130	C00064
DB00130	C00303
DB00130	C00819
DB00131	C00020
DB00132	C06427
DB00133	C00065
DB00133	C00716
DB00133	C00740
DB00134	C00073
DB00134	C00855
DB00134	C01733
DB00135	C00082
DB00135	C01536
DB00135	C06420
DB00136	C01673
DB00137	C08601
DB00138	C00491
DB00138	C01420
DB00139	C00042
DB00140	C00255
DB00142	C00025
DB00142	C00217
DB00142	C00302
DB00143	C00051
DB00143	C02471
DB00145	C00037
DB00146	C01561
DB00147	C00250
DB00148	C00300
DB00149	C00123
DB00149	C01570
DB00149	C16439
DB00150	C00078
DB00150	C00525
DB00150	C00806
DB00151	C00097
DB00151	C00736
DB00151	C00793
DB00152	C00378
DB00153	C05441
DB00154	C03242
DB00155	C00327
DB00156	C00188
DB00156	C00820
DB00156	C05519
DB00156	C12317
DB00157	C00004
DB00158	C00504
DB00159	C06428
DB00160	C00041
DB00160	C00133
DB00160	C01401
DB00161	C00183
DB00161	C06417
DB00161	C16436
DB00162	C00473
DB00162	C00899
DB00162	C16682
DB00162	C17276
DB00163	C02477
DB00165	C00314
DB00166	C00725
DB00166	C16241
DB00167	C00407
DB00167	C06418
DB00167	C16434
DB00168	C11045
DB00169	C05443
DB00170	C05377
DB00171	C00002
DB00172	C00148
DB00172	C00763
DB00172	C16435
DB00173	C00147
DB00174	C00152
DB00174	C01905
DB00174	C16438
DB00175	C01844
DB00176	C07571
DB00179	C10719
DB00180	C07005
DB00182	C07514
DB00182	C07884
DB00184	C00745
DB00184	C16150
DB00184	C16386
DB00187	C06980
DB00189	C07833
DB00190	C00001
DB00190	C01328
DB00190	C06870
DB00191	C07438
DB00193	C07153
DB00194	C00212
DB00195	C06849
DB00198	C08092
DB00198	C08093
DB00199	C01912
DB00200	C00001
DB00200	C01328
DB00201	C07481
DB00202	C07546
DB00203	C07259
DB00204	C07751
DB00205	C07391
DB00206	C06539
DB00207	C06838
DB00208	C07140
DB00211	C07890
DB00212	C07465
DB00213	C11806
DB00215	C07572
DB00218	C07663
DB00218	C08054
DB00220	C07257
DB00220	C08091
DB00221	C07053
DB00222	C07669
DB00223	C14479
DB00224	C07051
DB00224	C08089
DB00225	C00001
DB00225	C01328
DB00225	C13106
DB00226	C07035
DB00227	C07074
DB00228	C07516
DB00231	C07125
DB00232	C07765
DB00233	C02518
DB00233	C08055
DB00233	C13104
DB00235	C07224
DB00235	C13595
DB00236	C07362
DB00237	C07827
DB00238	C07263
DB00239	C08074
DB00239	C08075
DB00245	C06846
DB00246	C07568
DB00247	C07199
DB00248	C08187
DB00250	C07666
DB00251	C08080
DB00252	C07443
DB00253	C14643
