drugbank_id	molport_id
DB00014	MolPort-006-823-831
DB00035	MolPort-006-069-425
DB00050	MolPort-009-194-176
DB00050	MolPort-035-395-450
DB00091	MolPort-000-760-988
DB00091	MolPort-000-770-536
DB00091	MolPort-006-705-994
DB00091	MolPort-008-348-475
DB00091	MolPort-016-633-326
DB00091	MolPort-023-220-296
DB00091	MolPort-023-220-498
DB00091	MolPort-027-835-419
DB00104	MolPort-009-194-181
DB00114	MolPort-003-939-200
DB00116	MolPort-001-684-176
DB00117	MolPort-001-779-923
DB00117	MolPort-001-792-384
DB00117	MolPort-001-794-138
DB00117	MolPort-009-193-260
DB00118	MolPort-003-925-199
DB00118	MolPort-003-925-201
DB00118	MolPort-003-940-163
DB00118	MolPort-035-757-516
DB00120	MolPort-001-757-416
DB00120	MolPort-001-780-018
DB00121	MolPort-001-788-412
DB00121	MolPort-002-111-510
DB00123	MolPort-001-758-969
DB00123	MolPort-001-779-975
DB00125	MolPort-000-000-568
DB00125	MolPort-001-779-889
DB00125	MolPort-003-925-879
DB00125	MolPort-006-118-537
DB00126	MolPort-001-510-438
DB00126	MolPort-001-792-501
DB00126	MolPort-002-507-101
DB00126	MolPort-003-937-345
DB00127	MolPort-001-801-284
DB00128	MolPort-001-781-456
DB00128	MolPort-002-499-382
DB00129	MolPort-003-958-892
DB00129	MolPort-006-111-147
DB00130	MolPort-000-003-912
DB00130	MolPort-001-786-509
DB00131	MolPort-002-733-851
DB00131	MolPort-030-042-345
DB00132	MolPort-001-780-231
DB00133	MolPort-000-158-483
DB00133	MolPort-001-573-587
DB00133	MolPort-006-711-445
DB00134	MolPort-000-928-154
DB00134	MolPort-001-792-019
DB00135	MolPort-001-780-010
DB00135	MolPort-003-939-305
DB00136	MolPort-002-045-698
DB00137	MolPort-023-220-417
DB00138	MolPort-001-779-797
DB00138	MolPort-003-929-217
DB00138	MolPort-003-937-264
DB00138	MolPort-023-279-035
DB00138	MolPort-023-279-253
DB00138	MolPort-027-948-647
DB00140	MolPort-001-785-965
DB00140	MolPort-003-934-329
DB00141	MolPort-002-506-942
DB00141	MolPort-003-990-372
DB00141	MolPort-003-990-389
DB00141	MolPort-004-963-951
DB00141	MolPort-023-221-632
DB00141	MolPort-027-947-888
DB00142	MolPort-001-779-720
DB00142	MolPort-002-499-418
DB00143	MolPort-005-935-487
DB00146	MolPort-003-927-271
DB00146	MolPort-027-835-871
DB00147	MolPort-000-735-683
DB00147	MolPort-002-137-858
DB00148	MolPort-001-785-682
DB00149	MolPort-001-792-018
DB00149	MolPort-001-792-375
DB00150	MolPort-001-018-010
DB00150	MolPort-001-766-763
DB00151	MolPort-000-762-004
DB00151	MolPort-001-573-586
DB00151	MolPort-003-929-576
DB00153	MolPort-002-526-645
DB00153	MolPort-035-394-934
DB00155	MolPort-001-788-348
DB00155	MolPort-003-928-964
DB00155	MolPort-019-998-571
