drugbank_id	nih_ncc_id
DB00014	SAM001246784
DB00136	SAM001246772
DB00158	SAM002264616
DB00175	SAM001246656
DB00176	SAM001246977
DB00177	SAM001246581
DB00178	SAM001246757
DB00178	SAM002699899
DB00180	SAM002589966
DB00184	SAM002564224
DB00186	SAM001246833
DB00187	SAM001246533
DB00190	SAM002703129
DB00193	SAM001246847
DB00194	SAM002564191
DB00195	SAM001247084
DB00196	SAM002589905
DB00204	SAM001246621
DB00205	SAM002554921
DB00207	SAM002589961
DB00208	SAM001246558
DB00211	SAM002564219
DB00214	SAM001246567
DB00215	SAM001246599
DB00215	SAM001246668
DB00215	SAM002589960
DB00218	SAM001246654
DB00219	SAM001246887
DB00220	SAM001246655
DB00222	SAM001246710
DB00224	SAM001246588
DB00227	SAM002589963
DB00235	SAM001246611
DB00238	SAM001246551
DB00239	SAM001246724
DB00242	SAM001246526
DB00243	SAM001246534
DB00244	SAM001247020
DB00245	SAM002548938
DB00250	SAM002554879
DB00252	SAM002548966
DB00253	SAM002564258
DB00257	SAM001247056
DB00260	SAM001247014
DB00260	SAM002264599
DB00261	SAM001246604
DB00263	SAM002554929
DB00265	SAM001246702
DB00273	SAM001246601
DB00275	SAM001246634
DB00277	SAM002554935
DB00278	SAM001246661
DB00279	SAM003107539
DB00280	SAM002264607
DB00281	SAM001247018
DB00284	SAM001246733
DB00285	SAM001246572
DB00286	SAM001246904
DB00288	SAM002699903
DB00289	SAM001246626
DB00291	SAM002564202
DB00292	SAM001247074
DB00292	SAM002548930
DB00293	SAM001246796
DB00296	SAM001246524
DB00299	SAM001246580
DB00309	SAM001246568
DB00310	SAM002589983
DB00313	SAM002564230
DB00315	SAM001246841
DB00319	SAM002264643
DB00321	SAM002554886
DB00322	SAM002589947
DB00324	SAM002700174
DB00330	SAM002589988
DB00332	SAM002564215
DB00334	SAM001246652
DB00335	SAM002564193
DB00338	SAM001246900
DB00339	SAM002554927
DB00341	SAM001246575
DB00341	SAM002589989
DB00343	SAM002564204
DB00346	SAM001246638
DB00356	SAM002554888
DB00357	SAM002589964
DB00358	SAM002699894
DB00361	SAM001246780
DB00363	SAM002548976
DB00366	SAM001247030
DB00367	SAM001246694
DB00368	SAM002699901
DB00370	SAM001246659
DB00370	SAM002548934
DB00373	SAM002564238
DB00376	SAM002264652
DB00377	SAM001246791
DB00379	SAM002264606
DB00382	SAM001247002
DB00384	SAM002554937
DB00387	SAM002564231
DB00390	SAM002564205
DB00391	SAM001246703
DB00394	SAM002699895
DB00395	SAM002554889
DB00396	SAM001247039
DB00400	SAM002589940
DB00402	SAM002548982
DB00404	SAM001246696
DB00405	SAM001246556
DB00408	SAM001247061
DB00410	SAM002589979
DB00412	SAM001246608
DB00412	SAM001246610
DB00413	SAM001246540
DB00413	SAM001247006
DB00415	SAM002264590
DB00417	SAM002589954
DB00421	SAM002264648
DB00423	SAM002554900
DB00424	SAM002554885
DB00425	SAM001246549
DB00426	SAM001246732
DB00433	SAM001247054
DB00434	SAM001246883
DB00436	SAM002264598
DB00437	SAM002554884
DB00439	SAM001246554
DB00440	SAM002264649
DB00443	SAM002548948
DB00443	SAM002589959
DB00446	SAM002548963
DB00448	SAM001246544
DB00450	SAM001247013
DB00451	SAM002264651
DB00455	SAM001246987
DB00457	SAM001246995
DB00458	SAM002564216
DB00459	SAM002589973
DB00461	SAM002564225
DB00465	SAM001246596
DB00466	SAM001246993
DB00468	SAM002264644
DB00471	SAM001246657
DB00472	SAM002589965
DB00475	SAM001246815
DB00476	SAM001246523
DB00476	SAM001247059
DB00477	SAM002564196
DB00478	SAM002264596
DB00481	SAM002548975
DB00482	SAM002589995
DB00484	SAM002548958
DB00485	SAM002589990
DB00487	SAM001246571
DB00488	SAM002564241
DB00489	SAM001246725
DB00490	SAM002264597
DB00491	SAM001246745
DB00493	SAM002643511
DB00495	SAM002548971
DB00499	SAM002264612
DB00501	SAM002554892
DB00502	SAM001246979
DB00503	SAM001246783
DB00507	SAM001246708
DB00509	SAM002264651
DB00514	SAM001247062
DB00518	SAM002589939
DB00523	SAM002264647
DB00523	SAM002548955
DB00531	SAM002548983
DB00533	SAM001246617
DB00535	SAM001246818
DB00539	SAM001246774
DB00540	SAM002554915
DB00541	SAM001246570
DB00542	SAM001246712
DB00543	SAM002564189
DB00544	SAM002264615
DB00545	SAM002564227
DB00547	SAM001246885
DB00549	SAM001246577
DB00550	SAM002554926
DB00553	SAM002548974
DB00554	SAM001247048
DB00555	SAM001246697
DB00557	SAM002554902
DB00561	SAM001246792
DB00564	SAM002264603
DB00565	SAM001246793
DB00567	SAM001246761
DB00571	SAM002699889
DB00572	SAM002554885
DB00575	SAM001247073
DB00577	SAM001246749
DB00580	SAM001246603
DB00582	SAM001246664
DB00584	SAM002699897
DB00585	SAM001246752
DB00588	SAM001246583
DB00590	SAM002589981
DB00591	SAM002564208
DB00594	SAM001246996
DB00598	SAM002564217
DB00601	SAM001246624
DB00603	SAM002564220
DB00604	SAM001246975
DB00605	SAM002554933
DB00607	SAM002589927
DB00609	SAM002554899
DB00612	SAM001246618
DB00619	SAM001246622
DB00623	SAM001246863
DB00624	SAM001246921
DB00624	SAM002548950
DB00625	SAM001246667
DB00627	SAM002554917
DB00634	SAM002554931
DB00635	SAM002264641
DB00640	SAM002564191
DB00641	SAM002589969
DB00643	SAM002548959
DB00649	SAM001246729
DB00649	SAM002589948
DB00654	SAM001246671
DB00656	SAM001247045
DB00661	SAM001246968
DB00668	SAM002699891
DB00669	SAM001246579
DB00671	SAM001246816
DB00672	SAM002554890
DB00674	SAM001246978
DB00675	SAM002703133
DB00679	SAM002564240
DB00682	SAM002554882
DB00683	SAM001246585
DB00694	SAM002589992
DB00695	SAM002264614
DB00697	SAM002548961
DB00698	SAM002554913
DB00703	SAM002589943
DB00704	SAM002589986
DB00709	SAM001246582
DB00709	SAM002589994
DB00712	SAM001246961
DB00712	SAM002564209
DB00713	SAM002589930
DB00715	SAM001246991
DB00715	SAM002548935
DB00717	SAM002564223
DB00721	SAM002554920
DB00730	SAM002564239
DB00731	SAM001246721
DB00732	SAM001246793
DB00733	SAM002554924
DB00734	SAM001246595
DB00736	SAM001246900
DB00737	SAM002548969
DB00740	SAM001246997
DB00741	SAM002264617
DB00744	SAM001246738
DB00745	SAM001246587
DB00747	SAM001246967
DB00748	SAM002589920
DB00749	SAM002589968
DB00750	SAM002264640
DB00755	SAM002264647
DB00755	SAM002548955
DB00756	SAM002554903
DB00757	SAM001246842
DB00758	SAM002589956
DB00760	SAM001246650
DB00762	SAM001246598
DB00763	SAM002548951
DB00768	SAM001246802
DB00770	SAM001246840
DB00773	SAM001246880
DB00774	SAM002703134
DB00776	SAM001246754
DB00779	SAM002554914
DB00780	SAM001247037
DB00780	SAM002589985
DB00782	SAM002554922
DB00783	SAM001247032
DB00784	SAM002554908
DB00787	SAM002589967
DB00792	SAM001247047
DB00794	SAM002554925
DB00795	SAM001246530
DB00797	SAM002589935
DB00800	SAM001246665
DB00804	SAM002554894
DB00806	SAM001247011
DB00807	SAM002564232
DB00808	SAM002564214
DB00809	SAM002564235
DB00811	SAM002589951
DB00814	SAM002589991
DB00816	SAM002548965
DB00818	SAM002264610
DB00819	SAM002554883
DB00820	SAM001246586
DB00822	SAM001247028
DB00829	SAM001246536
DB00831	SAM001247046
DB00833	SAM001246884
DB00834	SAM001246881
DB00835	SAM001246556
DB00836	SAM002564218
DB00839	SAM002564236
DB00843	SAM001246627
DB00844	SAM001247063
DB00845	SAM001246878
DB00850	SAM002264637
DB00853	SAM001246636
DB00854	SAM001247023
DB00855	SAM002589919
DB00857	SAM001246565
DB00859	SAM002264642
DB00860	SAM002264639
DB00861	SAM002554896
DB00862	SAM001246573
DB00863	SAM002264645
DB00864	SAM001246677
DB00871	SAM002589944
DB00880	SAM002554891
DB00881	SAM002589972
DB00882	SAM002699904
DB00887	SAM002564195
DB00889	SAM001246527
DB00900	SAM001246673
DB00903	SAM002264611
DB00904	SAM001246631
DB00904	SAM002589958
DB00906	SAM001246625
DB00908	SAM002264644
DB00909	SAM002548957
DB00911	SAM001246913
DB00912	SAM001246546
DB00916	SAM001247010
DB00919	SAM002564233
DB00920	SAM001246984
DB00925	SAM002564244
DB00927	SAM001247033
DB00928	SAM002264595
DB00933	SAM001247051
DB00934	SAM001246989
DB00938	SAM001247096
DB00939	SAM002548942
DB00943	SAM001246779
DB00949	SAM001247005
DB00950	SAM002700173
DB00951	SAM002554904
DB00953	SAM001246615
DB00959	SAM002589984
DB00960	SAM002264631
DB00961	SAM001246875
DB00962	SAM001246641
DB00966	SAM001246602
DB00967	SAM001246545
DB00968	SAM002554912
DB00969	SAM001246782
DB00970	SAM001246846
DB00972	SAM001246645
DB00973	SAM001246623
DB00975	SAM002264609
DB00976	SAM001246805
DB00977	SAM001247008
DB00981	SAM001246992
DB00982	SAM002264647
DB00982	SAM002548955
DB00983	SAM001246675
DB00985	SAM001247024
DB00986	SAM001246629
DB00986	SAM002589987
DB00987	SAM001247012
DB00990	SAM001246574
DB00991	SAM001246770
DB00993	SAM002589938
DB00999	SAM002554901
DB01003	SAM002589934
DB01004	SAM002548936
DB01006	SAM001246649
DB01008	SAM002554887
DB01009	SAM002264620
DB01010	SAM002564207
DB01011	SAM002297829
DB01013	SAM002564250
DB01014	SAM001246804
DB01015	SAM002554930
DB01016	SAM002564212
DB01019	SAM002548931
DB01022	SAM002564257
DB01025	SAM001246669
DB01026	SAM001246983
DB01029	SAM001246548
DB01030	SAM001246651
DB01032	SAM002554923
DB01033	SAM002589937
DB01035	SAM002554928
DB01036	SAM001246691
DB01037	SAM001246969
DB01037	SAM002589926
DB01039	SAM002264613
DB01041	SAM002564245
DB01043	SAM001246743
DB01043	SAM002699890
DB01044	SAM002589955
DB01045	SAM002264646
DB01047	SAM002589945
DB01050	SAM002264619
DB01053	SAM002564229
DB01056	SAM001246759
DB01058	SAM002264632
DB01060	SAM002264592
DB01062	SAM002564226
DB01064	SAM002554906
DB01067	SAM002564210
DB01069	SAM002264636
DB01075	SAM001247024
DB01081	SAM001246532
DB01083	SAM001246637
DB01085	SAM001246962
DB01087	SAM002589929
DB01095	SAM002548940
DB01099	SAM001246753
DB01104	SAM001246666
DB01104	SAM002700175
DB01105	SAM001246592
DB01105	SAM001247105
DB01110	SAM002264623
DB01112	SAM002589901
DB01114	SAM001246557
DB01114	SAM001247022
DB01118	SAM001246646
DB01119	SAM001246872
DB01124	SAM002554936
DB01127	SAM002554898
DB01128	SAM001246612
DB01129	SAM001246619
DB01132	SAM001246600
DB01136	SAM001246736
DB01137	SAM001246758
DB01137	SAM002264629
DB01138	SAM002554932
DB01142	SAM001246976
DB01142	SAM002264608
DB01149	SAM001246653
DB01151	SAM002264605
DB01156	SAM001246699
DB01156	SAM001246723
DB01162	SAM001247000
DB01162	SAM002589982
DB01163	SAM001246687
DB01165	SAM001246758
DB01165	SAM002264629
DB01167	SAM001246679
DB01168	SAM001246564
DB01171	SAM001246614
DB01173	SAM002264628
DB01173	SAM002554918
DB01175	SAM001246599
DB01175	SAM001246668
DB01175	SAM002589960
DB01177	SAM001246676
DB01179	SAM002548978
DB01182	SAM002564228
DB01183	SAM002703137
DB01186	SAM001247070
DB01193	SAM002264591
DB01195	SAM002548968
DB01197	SAM002564201
DB01198	SAM002548982
DB01201	SAM001246620
DB01201	SAM002589953
DB01202	SAM001246539
DB01203	SAM002264627
DB01204	SAM002699896
DB01205	SAM001246763
DB01211	SAM001246748
DB01216	SAM001246541
DB01217	SAM001246525
DB01219	SAM002703135
DB01220	SAM001246597
DB01222	SAM002699898
DB01223	SAM002554935
DB01224	SAM001246777
DB01230	SAM001246706
DB01232	SAM001246578
DB01233	SAM002554911
DB01234	SAM002548948
DB01234	SAM002589959
DB01238	SAM001246750
DB01241	SAM002564211
DB01242	SAM002264601
DB01243	SAM002554895
DB01248	SAM001246689
DB01274	SAM001246675
DB01327	SAM002564200
DB01331	SAM002564251
DB01337	SAM001247003
DB01339	SAM001246821
DB01346	SAM002264644
DB01357	SAM001246866
DB01380	SAM002264600
DB01406	SAM002564203
DB01493	SAM001246555
DB01583	SAM002264651
DB01583	SAM003107539
DB01586	SAM002264653
DB01595	SAM001246711
DB01597	SAM001246552
DB01618	SAM002548933
DB01627	SAM002589936
DB01698	SAM001246528
DB01708	SAM001246922
DB01928	SAM001246851
DB01954	SAM001246766
DB02000	SAM002264634
DB02032	SAM002564201
DB02097	SAM001247012
DB02224	SAM001246760
DB02224	SAM001246778
DB02300	SAM001246670
DB02507	SAM002554882
DB02701	SAM001246860
DB02709	SAM001246888
DB02918	SAM001247053
DB02932	SAM001246612
DB03034	SAM001246758
DB03034	SAM002264629
DB03125	SAM002264649
DB03128	SAM002548945
DB03322	SAM002699889
DB03424	SAM001246806
DB03528	SAM002564191
DB03606	SAM001246766
DB04145	SAM001246894
DB04149	SAM001246766
DB04441	SAM002548956
DB04574	SAM001246904
DB04581	SAM001246858
DB04652	SAM001246879
DB04794	SAM001246775
DB04820	SAM001246861
DB04843	SAM002554910
DB04864	SAM001246851
DB04896	SAM001247035
DB04924	SAM001246542
DB04948	SAM001246820
DB05137	SAM001247050
DB05251	SAM001246655
DB05289	SAM001246961
DB05289	SAM002564209
DB05291	SAM001247018
DB05302	SAM002589986
DB05314	SAM001246772
DB05318	SAM001246970
DB05347	SAM002589967
DB05494	SAM001247012
DB05508	SAM002589986
DB06288	SAM001246639
DB06697	SAM001246799
DB06710	SAM001246682
DB06711	SAM002554916
DB06718	SAM001246590
DB06777	SAM002264653
DB06795	SAM002589996
DB06987	SAM002564193
DB07129	SAM002264606
DB07467	SAM002564214
DB07615	SAM001246737
DB07701	SAM001246627
DB07705	SAM002554898
DB07768	SAM001246921
DB07768	SAM002548950
DB07886	SAM002264617
DB08046	SAM002589983
