drugbank_id	nmrshiftdb2_id
DB00117	10016969
DB00117	20025081
DB00119	20097599
DB00120	10016961
DB00121	10016328
DB00121	75330
DB00122	10017762
DB00123	10016964
DB00123	10025690
DB00123	30095501
DB00123	30095881
DB00125	10009013
DB00125	20096827
DB00125	20096896
DB00125	30095880
DB00126	10016327
DB00126	20097541
DB00128	10016965
DB00128	20097654
DB00128	30095861
DB00129	10016971
DB00130	10016968
DB00131	10016348
DB00133	10009015
DB00134	30000100
DB00135	10016962
DB00138	20097219
DB00139	10008686
DB00139	20097551
DB00140	10008589
DB00140	30095494
DB00142	10016967
DB00145	10016953
DB00149	10016957
DB00149	20026342
DB00150	10016970
DB00150	30095883
DB00151	10016955
DB00151	30097731
DB00155	10009014
DB00156	10009016
DB00158	10016349
DB00158	20096834
DB00158	30095884
DB00160	10016954
DB00161	10008327
DB00161	20026334
DB00161	20026335
DB00165	10018151
DB00166	10017746
DB00167	10016958
DB00167	20026338
DB00170	20097597
DB00172	10009019
DB00173	10016329
DB00174	10016966
DB00175	20171581
DB00176	10018798
DB00179	20208720
DB00184	10008712
DB00190	20188012
DB00191	20143233
DB00194	10016342
DB00196	20246881
DB00200	20188012
DB00201	10016316
DB00202	20209097
DB00206	30001062
DB00215	20182136
DB00225	20188012
DB00233	10008627
DB00242	10023840
DB00244	20037775
DB00249	20200093
DB00249	20202497
DB00252	10021980
DB00255	20200150
DB00258	10009160
DB00258	30096620
DB00259	10008876
DB00263	77259
DB00265	89627
DB00277	30095493
DB00279	20044845
DB00295	10017676
DB00301	10022989
DB00311	20033074
DB00313	20200678
DB00316	89614
DB00318	10017677
DB00320	20208401
DB00323	10021705
DB00328	20208999
DB00334	10021706
DB00335	20209081
DB00338	10018799
DB00338	10019144
DB00338	20032654
DB00339	20050094
DB00345	20033073
DB00347	20180581
DB00356	20146194
DB00363	20061832
DB00364	20188012
DB00373	20180414
DB00375	10021791
DB00382	20209083
DB00391	20037386
DB00396	10016301
DB00397	20039266
DB00406	20053295
DB00406	30095504
DB00415	10022991
DB00424	10008977
DB00424	10016309
DB00429	10024064
DB00431	20097234
DB00431	20165082
DB00437	20025947
DB00451	20041151
DB00458	20147315
DB00464	20209700
DB00468	10016314
DB00470	10017748
DB00477	10018056
DB00478	20209330
DB00488	20146930
DB00498	10023100
DB00502	20207509
DB00509	20041151
DB00513	10008873
DB00515	20114936
DB00516	20188012
DB00518	20207369
DB00526	10016797
DB00527	10008929
DB00531	20208437
DB00544	20027309
DB00548	10113436
DB00550	20096866
DB00565	10016715
DB00567	10017742
DB00572	10008977
DB00572	10016309
DB00580	20082
DB00586	20242371
DB00592	10008641
DB00608	10019311
DB00609	20208897
DB00614	75035
DB00620	20209220
DB00621	20209315
DB00624	10016300
DB00627	20027733
DB00632	10008809
DB00635	20126
DB00639	20168179
DB00640	10016342
DB00641	20142234
DB00641	20168321
DB00644	10018365
DB00651	20209339
DB00658	10016941
DB00658	10021791
DB00667	30000818
DB00668	20123563
DB00668	20200051
DB00668	20200307
DB00674	20062583
DB00676	10005811
DB00693	20202498
DB00696	10017662
DB00712	20207883
DB00721	10008927
DB00721	10008928
DB00721	76809
DB00726	20147314
DB00729	20201437
DB00733	20209502
DB00736	10018799
DB00736	10019144
DB00736	20032654
DB00742	10005617
DB00747	10017798
DB00759	10016319
DB00770	10016350
DB00772	20209207
DB00773	20208416
DB00779	20123603
DB00784	20032693
DB00787	20025956
DB00788	20209411
DB00789	20208134
DB00804	20208884
DB00812	10016207
DB00815	20097653
DB00818	20040435
DB00819	20209331
DB00822	30096629
DB00825	10008950
DB00825	10026411
DB00825	20180049
DB00825	20180529
DB00825	20182362
DB00829	10016206
DB00834	20208414
DB00842	20182033
DB00849	20200886
DB00859	20037726
DB00874	20143234
DB00891	20202461
DB00895	10016964
DB00895	10025690
DB00895	30095501
DB00895	30095881
DB00898	10009222
DB00907	10016310
DB00907	10017613
DB00908	10016314
DB00915	10006057
DB00927	20207393
DB00927	20211263
DB00928	20209750
DB00936	10008793
DB00936	20208640
DB00939	20032692
DB00941	20028913
DB00945	20038075
DB00951	20097187
DB00952	10021715
DB00958	20025291
DB00958	20096511
DB00974	10016980
DB00974	20096498
DB00975	20208396
DB00981	20054745
DB00987	10016346
DB00988	20098289
DB00992	20209092
DB00995	10016982
DB00995	10018891
DB00995	20168717
DB01008	20198916
DB01009	20207463
DB01015	20208059
DB01023	2611
DB01026	10018239
DB01040	88819
DB01049	19876
DB01050	20200142
DB01053	10022988
DB01058	20109353
DB01060	20242183
DB01068	20237370
DB01069	20209869
DB01069	20211288
DB01092	10008979
DB01093	10016695
DB01113	10017664
DB01123	20200750
DB01123	20202466
DB01148	20208561
DB01148	20211278
DB01159	20209476
