drugbank_id	pharmgkb_id
DB00014	PA164747674
DB00035	PA449237
DB00050	PA164764506
DB00091	PA449167
DB00093	PA164744374
DB00104	PA450678
DB00119	PA164778686
DB00121	PA448625
DB00122	PA448976
DB00126	PA451898
DB00127	PA164781199
DB00139	PA164747739
DB00145	PA449789
DB00147	PA164749166
DB00148	PA164778930
DB00153	PA449484
DB00158	PA449692
DB00162	PA451884
DB00163	PA451900
DB00165	PA451897
DB00169	PA164748138
DB00170	PA450358
DB00173	PA448048
DB00175	PA451089
DB00177	PA451848
DB00178	PA451223
DB00180	PA449661
DB00182	PA448408
DB00184	PA450626
DB00186	PA450267
DB00189	PA164746383
DB00190	PA448794
DB00191	PA164748099
DB00192	PA164754881
DB00193	PA451735
DB00196	PA449653
DB00197	PA451799
DB00198	PA450721
DB00199	PA449493
DB00201	PA448710
DB00202	PA451522
DB00203	PA451346
DB00204	PA449389
DB00205	PA451193
DB00206	PA451236
DB00208	PA451686
DB00211	PA164749381
DB00213	PA450774
DB00215	PA10074
DB00215	PA449015
DB00216	PA134687947
DB00217	PA164743235
DB00219	PA164752252
DB00220	PA450606
DB00224	PA449977
DB00226	PA164745308
DB00227	PA450272
DB00228	PA449461
DB00229	PA164749298
DB00230	PA164754814
DB00234	PA144614921
DB00238	PA450616
DB00239	PA164754742
DB00240	PA164747650
DB00241	PA448695
DB00243	PA164746007
DB00246	PA451974
DB00247	PA164743265
DB00248	PA448708
DB00250	PA449211
DB00252	PA450947
DB00254	PA449415
DB00255	PA449307
DB00257	PA449057
DB00258	PA448021
DB00259	PA451545
DB00260	PA164764600
DB00261	PA164742986
DB00263	PA164748964
DB00264	PA450480
DB00267	PA164750569
DB00268	PA164749035
DB00272	PA164784036
DB00274	PA164746819
DB00277	PA451647
DB00281	PA450226
DB00285	PA451866
DB00288	PA164746074
DB00289	PA134688071
DB00291	PA448926
DB00292	PA164743987
DB00293	PA131625240
DB00295	PA450550
DB00297	PA135057240
DB00298	PA164749109
DB00299	PA450839
DB00302	PA164750514
DB00306	PA164779051
DB00307	PA164752250
