drugbank_id	surechembl_id
DB00014	SCHEMBL1029741
DB00014	SCHEMBL13660188
DB00014	SCHEMBL1433614
DB00014	SCHEMBL14485644
DB00014	SCHEMBL14973645
DB00014	SCHEMBL14976743
DB00014	SCHEMBL15123905
DB00014	SCHEMBL15212376
DB00014	SCHEMBL15553496
DB00014	SCHEMBL1649715
DB00014	SCHEMBL1869616
DB00014	SCHEMBL24082
DB00014	SCHEMBL3142286
DB00014	SCHEMBL3336773
DB00014	SCHEMBL4080889
DB00014	SCHEMBL4081003
DB00014	SCHEMBL4735617
DB00014	SCHEMBL4975807
DB00014	SCHEMBL5056400
DB00014	SCHEMBL5320254
DB00014	SCHEMBL5537090
DB00014	SCHEMBL5575758
DB00014	SCHEMBL5605264
DB00014	SCHEMBL6024475
DB00014	SCHEMBL6094
DB00014	SCHEMBL6095
DB00014	SCHEMBL6385667
DB00014	SCHEMBL6596629
DB00014	SCHEMBL6598670
DB00014	SCHEMBL6598931
DB00014	SCHEMBL6599233
DB00014	SCHEMBL674166
DB00014	SCHEMBL6866961
DB00014	SCHEMBL7104571
DB00014	SCHEMBL7202372
DB00014	SCHEMBL724618
DB00014	SCHEMBL7563833
DB00014	SCHEMBL7752312
DB00014	SCHEMBL7862069
DB00014	SCHEMBL7862650
DB00014	SCHEMBL7930195
DB00014	SCHEMBL8468861
DB00014	SCHEMBL8643
DB00014	SCHEMBL8836302
DB00014	SCHEMBL8937900
DB00014	SCHEMBL9953022
DB00035	SCHEMBL10053268
DB00035	SCHEMBL1171610
DB00035	SCHEMBL1172203
DB00035	SCHEMBL13575732
DB00035	SCHEMBL13775933
DB00035	SCHEMBL14027607
DB00035	SCHEMBL140899
DB00035	SCHEMBL15933169
DB00035	SCHEMBL204511
DB00035	SCHEMBL22510
DB00035	SCHEMBL22511
DB00035	SCHEMBL2368643
DB00035	SCHEMBL2829294
DB00035	SCHEMBL3134166
DB00035	SCHEMBL347838
DB00035	SCHEMBL4642385
DB00035	SCHEMBL5555626
DB00035	SCHEMBL5696954
DB00035	SCHEMBL5943392
DB00035	SCHEMBL6021294
DB00035	SCHEMBL6254354
DB00035	SCHEMBL636106
DB00035	SCHEMBL7100270
DB00035	SCHEMBL7623173
DB00035	SCHEMBL7623285
DB00035	SCHEMBL8648788
DB00035	SCHEMBL8816483
DB00035	SCHEMBL9712039
DB00050	SCHEMBL13724022
DB00050	SCHEMBL1462430
DB00050	SCHEMBL16099746
DB00050	SCHEMBL245522
DB00050	SCHEMBL3045608
DB00050	SCHEMBL3053217
DB00050	SCHEMBL5544849
DB00050	SCHEMBL61331
DB00050	SCHEMBL61332
DB00050	SCHEMBL6149471
DB00050	SCHEMBL7951779
DB00050	SCHEMBL7951944
DB00050	SCHEMBL8024153
DB00050	SCHEMBL979097
DB00050	SCHEMBL980465
DB00050	SCHEMBL993027
DB00091	SCHEMBL1116227
DB00091	SCHEMBL12522443
DB00091	SCHEMBL1264758
DB00091	SCHEMBL12799543
DB00091	SCHEMBL1286442
DB00091	SCHEMBL1286444
DB00091	SCHEMBL12923645
DB00091	SCHEMBL13073066
DB00091	SCHEMBL13223210
DB00091	SCHEMBL1324579
DB00091	SCHEMBL13379284
DB00091	SCHEMBL13509209
DB00091	SCHEMBL13987071
DB00091	SCHEMBL14099239
DB00091	SCHEMBL14198843
DB00091	SCHEMBL14476789
DB00091	SCHEMBL14497780
DB00091	SCHEMBL1461528
DB00091	SCHEMBL15251620
DB00091	SCHEMBL15500755
DB00091	SCHEMBL1567625
DB00091	SCHEMBL16011447
DB00091	SCHEMBL16021192
DB00091	SCHEMBL16062216
DB00091	SCHEMBL16099051
DB00091	SCHEMBL16397505
DB00091	SCHEMBL1653705
DB00091	SCHEMBL1653706
DB00091	SCHEMBL1708909
DB00091	SCHEMBL1708949
DB00091	SCHEMBL17555
DB00091	SCHEMBL1830173
DB00091	SCHEMBL1903349
DB00091	SCHEMBL2009060
DB00091	SCHEMBL2314798
DB00091	SCHEMBL2486445
DB00091	SCHEMBL2900839
DB00091	SCHEMBL296158
DB00091	SCHEMBL2973381
DB00091	SCHEMBL2973383
DB00091	SCHEMBL3005047
DB00091	SCHEMBL3109781
DB00091	SCHEMBL3110306
DB00091	SCHEMBL3134548
DB00091	SCHEMBL3138596
DB00091	SCHEMBL3269896
DB00091	SCHEMBL3420690
DB00091	SCHEMBL3485784
DB00091	SCHEMBL3487687
DB00091	SCHEMBL3487688
DB00091	SCHEMBL3489
DB00091	SCHEMBL3490
DB00091	SCHEMBL3491
DB00091	SCHEMBL3653024
DB00091	SCHEMBL3668874
DB00091	SCHEMBL4169711
DB00091	SCHEMBL4331439
DB00091	SCHEMBL4442
DB00091	SCHEMBL4443
DB00091	SCHEMBL4451114
DB00091	SCHEMBL4451116
DB00091	SCHEMBL4452825
DB00091	SCHEMBL4454089
DB00091	SCHEMBL4454862
DB00091	SCHEMBL4454866
DB00091	SCHEMBL4455394
DB00091	SCHEMBL4456207
DB00091	SCHEMBL4459071
DB00091	SCHEMBL4459075
DB00091	SCHEMBL4460669
DB00091	SCHEMBL4464657
DB00091	SCHEMBL4468560
DB00091	SCHEMBL4525986
DB00091	SCHEMBL4531130
DB00091	SCHEMBL4531408
DB00091	SCHEMBL4531411
DB00091	SCHEMBL4533831
DB00091	SCHEMBL4533834
DB00091	SCHEMBL4534159
DB00091	SCHEMBL4534873
DB00091	SCHEMBL4534877
DB00091	SCHEMBL4536826
DB00091	SCHEMBL4536830
DB00091	SCHEMBL4536940
DB00091	SCHEMBL4537091
DB00091	SCHEMBL4537093
DB00091	SCHEMBL4537608
DB00091	SCHEMBL4538899
DB00091	SCHEMBL4540842
DB00091	SCHEMBL4956798
DB00091	SCHEMBL498366
DB00091	SCHEMBL5077398
DB00091	SCHEMBL5184104
DB00091	SCHEMBL5271069
DB00091	SCHEMBL5559445
DB00091	SCHEMBL5559449
DB00091	SCHEMBL564370
DB00091	SCHEMBL5663144
DB00091	SCHEMBL5663549
DB00091	SCHEMBL5798850
DB00091	SCHEMBL5880287
DB00091	SCHEMBL6241205
DB00091	SCHEMBL626032
DB00091	SCHEMBL6322932
DB00091	SCHEMBL6394478
DB00091	SCHEMBL6442662
DB00091	SCHEMBL6557241
DB00091	SCHEMBL66895
DB00091	SCHEMBL6748196
DB00091	SCHEMBL676877
DB00091	SCHEMBL6799100
DB00091	SCHEMBL6799104
DB00091	SCHEMBL6930458
DB00091	SCHEMBL6936200
DB00091	SCHEMBL7147941
DB00091	SCHEMBL7148073
DB00091	SCHEMBL7265617
DB00091	SCHEMBL7333472
DB00091	SCHEMBL7515620
DB00091	SCHEMBL7622649
DB00091	SCHEMBL7627027
DB00091	SCHEMBL7752319
DB00091	SCHEMBL7857987
DB00091	SCHEMBL7857989
DB00091	SCHEMBL7886125
DB00091	SCHEMBL7886918
DB00091	SCHEMBL7899509
DB00091	SCHEMBL7904195
DB00091	SCHEMBL8034888
DB00091	SCHEMBL8053287
DB00091	SCHEMBL8083801
DB00091	SCHEMBL8105853
DB00091	SCHEMBL8166695
DB00091	SCHEMBL8203646
DB00091	SCHEMBL8327427
DB00091	SCHEMBL8336642
DB00091	SCHEMBL8336647
DB00091	SCHEMBL8401092
DB00091	SCHEMBL8437574
DB00091	SCHEMBL8466311
DB00091	SCHEMBL8466466
DB00091	SCHEMBL8680291
DB00091	SCHEMBL8680745
DB00091	SCHEMBL8713001
DB00091	SCHEMBL8713005
DB00091	SCHEMBL9658997
DB00091	SCHEMBL978580
DB00091	SCHEMBL9988213
DB00093	SCHEMBL15156083
DB00093	SCHEMBL1650172
DB00093	SCHEMBL2112175
DB00093	SCHEMBL33291
DB00093	SCHEMBL361197
DB00093	SCHEMBL4405496
DB00093	SCHEMBL5199973
DB00093	SCHEMBL7623173
DB00104	SCHEMBL10044649
DB00104	SCHEMBL1030008
DB00104	SCHEMBL1030022
DB00104	SCHEMBL1411885
DB00104	SCHEMBL14157162
DB00104	SCHEMBL15135020
DB00104	SCHEMBL15570084
DB00104	SCHEMBL1580712
DB00104	SCHEMBL15856937
DB00104	SCHEMBL15926145
DB00104	SCHEMBL15932939
DB00104	SCHEMBL1675984
DB00104	SCHEMBL18636
DB00104	SCHEMBL2119786
DB00104	SCHEMBL2222533
DB00104	SCHEMBL2222954
DB00104	SCHEMBL2223757
DB00104	SCHEMBL2225009
DB00104	SCHEMBL2330976
DB00104	SCHEMBL2435867
DB00104	SCHEMBL247589
DB00104	SCHEMBL2830104
DB00104	SCHEMBL2835428
DB00104	SCHEMBL3128018
DB00104	SCHEMBL320745
DB00104	SCHEMBL3643561
DB00104	SCHEMBL4392024
DB00104	SCHEMBL4745399
DB00104	SCHEMBL5146800
DB00104	SCHEMBL5525669
DB00104	SCHEMBL58453
DB00104	SCHEMBL6066965
DB00104	SCHEMBL6452623
DB00104	SCHEMBL678434
DB00104	SCHEMBL6930100
DB00104	SCHEMBL7116694
DB00104	SCHEMBL7158631
DB00104	SCHEMBL725387
DB00104	SCHEMBL7410834
DB00104	SCHEMBL7909
DB00104	SCHEMBL7910
DB00104	SCHEMBL8585217
DB00104	SCHEMBL972741
DB00114	SCHEMBL10337888
DB00114	SCHEMBL10338085
DB00114	SCHEMBL10338086
DB00114	SCHEMBL10338098
DB00114	SCHEMBL10412392
DB00114	SCHEMBL10534222
DB00114	SCHEMBL11306580
DB00114	SCHEMBL11547419
DB00114	SCHEMBL1527665
DB00114	SCHEMBL15862634
DB00114	SCHEMBL2253408
DB00114	SCHEMBL23158
DB00114	SCHEMBL2746592
DB00114	SCHEMBL2746593
DB00114	SCHEMBL2847404
DB00114	SCHEMBL397066
DB00114	SCHEMBL4073272
DB00114	SCHEMBL4076498
DB00114	SCHEMBL4085746
DB00114	SCHEMBL4440488
DB00114	SCHEMBL4916108
DB00114	SCHEMBL524748
DB00114	SCHEMBL5671724
DB00114	SCHEMBL5713460
DB00114	SCHEMBL6342679
DB00114	SCHEMBL6725637
DB00114	SCHEMBL6725640
DB00114	SCHEMBL6926122
DB00114	SCHEMBL791423
DB00114	SCHEMBL8013911
DB00114	SCHEMBL8024974
DB00114	SCHEMBL827100
DB00114	SCHEMBL8365324
DB00114	SCHEMBL8740678
DB00114	SCHEMBL8907837
DB00114	SCHEMBL9350949
DB00114	SCHEMBL9834164
DB00115	SCHEMBL10983327
DB00115	SCHEMBL495
DB00115	SCHEMBL9003261
DB00116	SCHEMBL10358930
DB00116	SCHEMBL10358931
DB00116	SCHEMBL1069545
DB00116	SCHEMBL11116571
DB00116	SCHEMBL12806286
DB00116	SCHEMBL16487484
DB00116	SCHEMBL1878687
DB00116	SCHEMBL1884731
DB00116	SCHEMBL1885656
DB00116	SCHEMBL1890563
DB00116	SCHEMBL2290072
DB00116	SCHEMBL258530
DB00116	SCHEMBL2691812
DB00116	SCHEMBL2931999
DB00116	SCHEMBL3396262
DB00116	SCHEMBL3399382
DB00116	SCHEMBL3404283
DB00116	SCHEMBL3404292
DB00116	SCHEMBL3445556
DB00116	SCHEMBL4186286
DB00116	SCHEMBL4280854
DB00116	SCHEMBL4409552
DB00116	SCHEMBL4455046
DB00116	SCHEMBL4542425
DB00116	SCHEMBL4612351
DB00116	SCHEMBL4628326
DB00116	SCHEMBL48943
DB00116	SCHEMBL48944
DB00116	SCHEMBL5691211
DB00116	SCHEMBL6398656
DB00116	SCHEMBL6399547
DB00116	SCHEMBL6655439
DB00116	SCHEMBL6880950
DB00116	SCHEMBL8030
DB00116	SCHEMBL8031
DB00116	SCHEMBL8078001
DB00116	SCHEMBL8078004
DB00116	SCHEMBL82453
DB00116	SCHEMBL8375189
DB00116	SCHEMBL8375309
DB00116	SCHEMBL8694082
DB00116	SCHEMBL9150211
DB00116	SCHEMBL9150219
DB00116	SCHEMBL9169795
DB00116	SCHEMBL9170434
DB00116	SCHEMBL9170627
DB00116	SCHEMBL9171529
DB00116	SCHEMBL9174357
DB00116	SCHEMBL9177351
DB00116	SCHEMBL9431200
DB00116	SCHEMBL9486186
DB00117	SCHEMBL12757148
DB00117	SCHEMBL13318944
DB00117	SCHEMBL3258
DB00117	SCHEMBL3259
DB00117	SCHEMBL3439701
DB00117	SCHEMBL4223168
DB00117	SCHEMBL59365
DB00118	SCHEMBL1006917
DB00118	SCHEMBL10400453
DB00118	SCHEMBL10594106
DB00118	SCHEMBL1228179
DB00118	SCHEMBL1229862
DB00118	SCHEMBL1300198
DB00118	SCHEMBL1300205
DB00118	SCHEMBL13033865
DB00118	SCHEMBL1980696
DB00118	SCHEMBL1980697
DB00118	SCHEMBL2007787
DB00118	SCHEMBL2026386
DB00118	SCHEMBL25176
DB00118	SCHEMBL25177
DB00118	SCHEMBL2714468
DB00118	SCHEMBL3071200
DB00118	SCHEMBL3202538
DB00118	SCHEMBL3208346
DB00118	SCHEMBL3208360
DB00118	SCHEMBL3229444
DB00118	SCHEMBL3685223
DB00118	SCHEMBL4019679
DB00118	SCHEMBL4164615
DB00118	SCHEMBL439494
DB00118	SCHEMBL439495
DB00118	SCHEMBL4747876
DB00118	SCHEMBL4747883
DB00118	SCHEMBL5417134
DB00118	SCHEMBL5463109
DB00118	SCHEMBL5465751
DB00118	SCHEMBL55479
DB00118	SCHEMBL59293
DB00118	SCHEMBL599664
DB00118	SCHEMBL600368
DB00118	SCHEMBL6515296
DB00118	SCHEMBL66767
DB00118	SCHEMBL6824542
DB00118	SCHEMBL7180617
DB00118	SCHEMBL7180643
DB00118	SCHEMBL7187491
DB00118	SCHEMBL7187726
DB00118	SCHEMBL7190215
DB00118	SCHEMBL7191515
DB00118	SCHEMBL7192080
DB00118	SCHEMBL7192986
DB00118	SCHEMBL7193535
DB00118	SCHEMBL7193587
DB00118	SCHEMBL7194719
DB00118	SCHEMBL7194752
DB00118	SCHEMBL7802310
DB00118	SCHEMBL7810282
DB00118	SCHEMBL8171653
DB00118	SCHEMBL8362630
DB00118	SCHEMBL8362634
DB00118	SCHEMBL8970803
DB00118	SCHEMBL8970812
DB00118	SCHEMBL9437087
DB00118	SCHEMBL9446926
DB00118	SCHEMBL9446936
DB00118	SCHEMBL9446942
DB00118	SCHEMBL9518716
DB00118	SCHEMBL9518725
DB00118	SCHEMBL9698790
DB00119	SCHEMBL13165964
DB00119	SCHEMBL13165965
DB00119	SCHEMBL13221680
DB00119	SCHEMBL1331078
DB00119	SCHEMBL1750
DB00119	SCHEMBL300872
DB00120	SCHEMBL1040108
DB00120	SCHEMBL1152617
DB00120	SCHEMBL1273725
DB00120	SCHEMBL1330932
DB00120	SCHEMBL1331077
DB00120	SCHEMBL1331205
DB00120	SCHEMBL1331228
DB00120	SCHEMBL1331777
DB00120	SCHEMBL1331829
DB00120	SCHEMBL13318945
DB00120	SCHEMBL13318969
DB00120	SCHEMBL1331985
DB00120	SCHEMBL1332173
DB00120	SCHEMBL1332296
DB00120	SCHEMBL1332549
DB00120	SCHEMBL15671104
DB00120	SCHEMBL2939606
DB00120	SCHEMBL3051107
DB00120	SCHEMBL3439692
DB00120	SCHEMBL6039618
DB00120	SCHEMBL8118
DB00120	SCHEMBL8119
DB00120	SCHEMBL8819647
DB00120	SCHEMBL92744
DB00120	SCHEMBL9392702
DB00121	SCHEMBL10047687
DB00121	SCHEMBL13049452
DB00121	SCHEMBL13079658
DB00121	SCHEMBL13272362
DB00121	SCHEMBL13528027
DB00121	SCHEMBL14489489
DB00121	SCHEMBL3384633
DB00121	SCHEMBL36572
DB00121	SCHEMBL5138303
DB00121	SCHEMBL5376391
DB00121	SCHEMBL59420
DB00121	SCHEMBL826595
DB00121	SCHEMBL8763
DB00121	SCHEMBL8985539
DB00122	SCHEMBL1137997
DB00122	SCHEMBL12096589
DB00122	SCHEMBL13169639
DB00122	SCHEMBL13652102
DB00122	SCHEMBL14330721
DB00122	SCHEMBL16558587
DB00122	SCHEMBL3142
DB00123	SCHEMBL1039959
DB00123	SCHEMBL1039960
DB00123	SCHEMBL1042911
DB00123	SCHEMBL11718104
DB00123	SCHEMBL11718114
DB00123	SCHEMBL12305733
DB00123	SCHEMBL12305735
DB00123	SCHEMBL12305744
DB00123	SCHEMBL12305780
DB00123	SCHEMBL12444142
DB00123	SCHEMBL12707047
DB00123	SCHEMBL12707048
DB00123	SCHEMBL12757156
DB00123	SCHEMBL12867528
DB00123	SCHEMBL13318951
DB00123	SCHEMBL13318967
DB00123	SCHEMBL16011448
DB00123	SCHEMBL1645
DB00123	SCHEMBL1646
DB00123	SCHEMBL3439696
DB00123	SCHEMBL3648265
DB00123	SCHEMBL4337584
DB00123	SCHEMBL7343
DB00125	SCHEMBL12305727
DB00125	SCHEMBL12305732
DB00125	SCHEMBL12305734
DB00125	SCHEMBL12305784
DB00125	SCHEMBL12757147
DB00125	SCHEMBL1286859
DB00125	SCHEMBL13318953
DB00125	SCHEMBL13318960
DB00125	SCHEMBL13318966
DB00125	SCHEMBL1790
DB00125	SCHEMBL1791
DB00125	SCHEMBL29456
DB00125	SCHEMBL3690277
DB00125	SCHEMBL3692796
DB00125	SCHEMBL6703134
DB00125	SCHEMBL8522530
DB00126	SCHEMBL10957988
DB00126	SCHEMBL11555670
DB00126	SCHEMBL11981759
DB00126	SCHEMBL13468284
DB00126	SCHEMBL18678
DB00126	SCHEMBL4303832
DB00126	SCHEMBL6028836
DB00126	SCHEMBL679585
DB00126	SCHEMBL734589
DB00126	SCHEMBL785
DB00126	SCHEMBL786
DB00126	SCHEMBL8360664
DB00127	SCHEMBL10921247
DB00127	SCHEMBL10944531
DB00127	SCHEMBL11442576
DB00127	SCHEMBL1167355
DB00127	SCHEMBL1239612
DB00127	SCHEMBL1239615
DB00127	SCHEMBL1240041
DB00127	SCHEMBL1251595
DB00127	SCHEMBL1273895
DB00127	SCHEMBL14142635
DB00127	SCHEMBL1419732
DB00127	SCHEMBL14965
DB00127	SCHEMBL15019629
DB00127	SCHEMBL15019631
DB00127	SCHEMBL15300022
DB00127	SCHEMBL15687817
DB00127	SCHEMBL15688129
DB00127	SCHEMBL15688130
DB00127	SCHEMBL15688266
DB00127	SCHEMBL16431800
DB00127	SCHEMBL1667358
DB00127	SCHEMBL1740431
DB00127	SCHEMBL1890024
DB00127	SCHEMBL1897038
DB00127	SCHEMBL1897039
DB00127	SCHEMBL1919921
DB00127	SCHEMBL1984897
DB00127	SCHEMBL2058654
DB00127	SCHEMBL2109916
DB00127	SCHEMBL2437482
DB00127	SCHEMBL2597748
DB00127	SCHEMBL288605
DB00127	SCHEMBL299228
DB00127	SCHEMBL299229
DB00127	SCHEMBL3059087
DB00127	SCHEMBL3060219
DB00127	SCHEMBL3060222
DB00127	SCHEMBL3129366
DB00127	SCHEMBL3134527
DB00127	SCHEMBL348192
DB00127	SCHEMBL348194
DB00127	SCHEMBL3617952
DB00127	SCHEMBL364155
DB00127	SCHEMBL3727518
DB00127	SCHEMBL3727520
DB00127	SCHEMBL4189335
DB00127	SCHEMBL4189337
DB00127	SCHEMBL4223413
DB00127	SCHEMBL4275609
DB00127	SCHEMBL431884
DB00127	SCHEMBL4801900
DB00127	SCHEMBL4860071
DB00127	SCHEMBL4873629
DB00127	SCHEMBL5271193
DB00127	SCHEMBL5356572
DB00127	SCHEMBL5358017
DB00127	SCHEMBL5360658
DB00127	SCHEMBL5361159
DB00127	SCHEMBL5364138
DB00127	SCHEMBL5364324
DB00127	SCHEMBL5364351
DB00127	SCHEMBL5373330
DB00127	SCHEMBL5375341
DB00127	SCHEMBL5375346
DB00127	SCHEMBL564391
DB00127	SCHEMBL564393
DB00127	SCHEMBL5666086
DB00127	SCHEMBL5698500
DB00127	SCHEMBL5802297
DB00127	SCHEMBL5919642
DB00127	SCHEMBL5953817
DB00127	SCHEMBL6129875
DB00127	SCHEMBL625285
DB00127	SCHEMBL6324105
DB00127	SCHEMBL6328887
DB00127	SCHEMBL6422290
DB00127	SCHEMBL6466326
DB00127	SCHEMBL6713954
DB00127	SCHEMBL674873
DB00127	SCHEMBL7044349
DB00127	SCHEMBL7098369
DB00127	SCHEMBL7153675
DB00127	SCHEMBL7162497
DB00127	SCHEMBL7162500
DB00127	SCHEMBL718674
DB00127	SCHEMBL720710
DB00127	SCHEMBL7261475
DB00127	SCHEMBL7562271
DB00127	SCHEMBL7709508
DB00127	SCHEMBL7750968
DB00127	SCHEMBL7771654
DB00127	SCHEMBL7848256
DB00127	SCHEMBL8012773
DB00127	SCHEMBL8020847
DB00127	SCHEMBL8148971
DB00127	SCHEMBL8334479
DB00127	SCHEMBL8363602
DB00127	SCHEMBL8387221
DB00127	SCHEMBL8443869
DB00127	SCHEMBL8445845
DB00127	SCHEMBL8516450
DB00127	SCHEMBL8516452
DB00127	SCHEMBL8658186
DB00127	SCHEMBL866011
DB00127	SCHEMBL866361
DB00127	SCHEMBL867750
DB00127	SCHEMBL867751
DB00127	SCHEMBL8678866
DB00127	SCHEMBL8898187
DB00127	SCHEMBL8933183
