drugbank_id	zinc_id
DB00114	ZINC01532514
DB00116	ZINC04228235
DB00116	ZINC04228237
DB00116	ZINC13513942
DB00116	ZINC13513943
DB00117	ZINC06661227
DB00117	ZINC06661404
DB00117	ZINC18274816
DB00117	ZINC19014871
DB00118	ZINC04228231
DB00118	ZINC12371978
DB00118	ZINC12371979
DB00118	ZINC12371980
DB00118	ZINC13522357
DB00118	ZINC13522362
DB00119	ZINC01532517
DB00120	ZINC00001927
DB00120	ZINC00105196
DB00121	ZINC01532548
DB00121	ZINC02169824
DB00121	ZINC02169825
DB00121	ZINC03830315
DB00121	ZINC03830316
DB00121	ZINC03830317
DB00121	ZINC03830318
DB00122	ZINC03079337
DB00123	ZINC01532522
DB00123	ZINC01532731
DB00125	ZINC01532525
DB00125	ZINC01532749
DB00125	ZINC12484881
DB00125	ZINC12496140
DB00126	ZINC14438802
DB00127	ZINC01532734
DB00128	ZINC00895032
DB00128	ZINC00895218
DB00129	ZINC01532530
DB00129	ZINC01532678
DB00130	ZINC01532526
DB00130	ZINC01532609
DB00131	ZINC01571045
DB00131	ZINC01842158
DB00131	ZINC02126310
DB00131	ZINC03201889
DB00131	ZINC03201891
DB00131	ZINC03201893
DB00131	ZINC03581324
DB00131	ZINC03830180
DB00131	ZINC03860156
DB00131	ZINC03977897
DB00131	ZINC04806442
DB00131	ZINC08613167
DB00132	ZINC03802189
DB00132	ZINC03870057
DB00132	ZINC13508536
DB00132	ZINC13508538
DB00132	ZINC13508540
DB00132	ZINC14616300
DB00133	ZINC00895034
DB00133	ZINC00895342
DB00134	ZINC01532529
DB00134	ZINC01532766
DB00135	ZINC00002234
DB00135	ZINC00266964
DB00136	ZINC03924790
DB00136	ZINC04543536
DB00136	ZINC04543538
DB00136	ZINC04543541
DB00136	ZINC04543544
DB00136	ZINC12484901
DB00136	ZINC13543615
DB00136	ZINC22129829
DB00136	ZINC27103601
DB00136	ZINC27644174
DB00136	ZINC27644181
DB00136	ZINC28134992
DB00136	ZINC29552079
DB00136	ZINC35024574
DB00136	ZINC35024577
DB00136	ZINC35024580
DB00138	ZINC01529198
DB00138	ZINC01529200
DB00138	ZINC01532673
DB00138	ZINC12362039
DB00139	ZINC00895030
DB00140	ZINC01532585
DB00140	ZINC01769096
DB00140	ZINC02036848
DB00140	ZINC03650334
DB00140	ZINC03831422
DB00140	ZINC03831423
DB00140	ZINC03831424
DB00140	ZINC11565587
DB00141	ZINC02020190
DB00141	ZINC02077807
DB00141	ZINC02508225
DB00141	ZINC02556386
DB00141	ZINC04523240
DB00141	ZINC04523242
DB00141	ZINC04533798
DB00141	ZINC36378001
DB00141	ZINC36533537
DB00142	ZINC00895124
DB00142	ZINC01482113
DB00143	ZINC03830891
DB00143	ZINC03830892
DB00143	ZINC03830893
DB00143	ZINC03830894
DB00145	ZINC04658552
DB00146	ZINC04474414
DB00146	ZINC04623695
DB00146	ZINC11592567
DB00146	ZINC12484919
DB00146	ZINC12484926
DB00146	ZINC13525982
DB00146	ZINC26891873
