drugbank_id	category	uniprot_id	entrez_gene_id	organism	known_action	actions	pubmed_ids
DB00001	target	P00734	2147	Human	yes	inhibitor	10505536|10912644|11055889|11467439|11807012|11752352
DB00006	target	P00734	2147	Human	yes	inhibitor	11060732|11504570|11833835|11923794|11929334|11752352
DB00025	enzyme	P00734	2147	Human	unknown	activator	10688826|1139038|12463731|2402772|3099625
DB00055	target	P00734	2147	Human	unknown		10463819|12062545|12070133|12208873|12296618
DB00100	target	P00734	2147	Human	unknown		10498586|10499904|10499905|10648407|11019961
DB00170	target	P00734	2147	Human	unknown	activator	10469489|2484931|2922761|6867080|7657295
DB00278	target	P00734	2147	Human	yes	inhibitor	10226408|10353669|10362188|10608016|10608050|11752352
DB01123	target	P00734	2147	Human	no	other/unknown	1711542|4857231|6722124|7407200|7837275|10592235
DB01766	target	P00734	2147	Human	unknown		10592235
DB01767	target	P00734	2147	Human	unknown		10592235
DB02193	target	P00734	2147	Human	unknown		10592235
DB02351	target	P00734	2147	Human	unknown	inhibitor	11752352
DB02723	target	P00734	2147	Human	unknown		17139284|17016423
DB03136	target	P00734	2147	Human	unknown		10592235
DB03159	target	P00734	2147	Human	unknown		10592235
DB03847	target	P00734	2147	Human	unknown		17139284|17016423|10592235
DB03865	target	P00734	2147	Human	unknown		10592235
DB04136	target	P00734	2147	Human	unknown		17139284|17016423|10592235
DB04591	target	P00734	2147	Human	unknown		10592235
DB04697	target	P00734	2147	Human	unknown		
DB04722	target	P00734	2147	Human	unknown		10592235
DB04771	target	P00734	2147	Human	unknown		
DB04772	target	P00734	2147	Human	unknown		
DB04786	target	P00734	2147	Human	unknown	inhibitor	15203120
DB04898	target	P00734	2147	Human	yes	inhibitor	17688383|17319469|17516699|17532684|11752352
DB05777	target	P00734	2147	Human	unknown		
DB06695	target	P00734	2147	Human	yes	inhibitor	19756950|17061960|20424539
DB06838	target	P00734	2147	Human	unknown		10592235
DB06841	target	P00734	2147	Human	unknown		10592235
DB06845	target	P00734	2147	Human	unknown		10592235
DB06850	target	P00734	2147	Human	unknown		10592235
DB06853	target	P00734	2147	Human	unknown		10592235
DB06854	target	P00734	2147	Human	unknown		10592235
DB06858	target	P00734	2147	Human	unknown		10592235
DB06859	target	P00734	2147	Human	unknown		10592235
DB06861	target	P00734	2147	Human	unknown		10592235
DB06865	target	P00734	2147	Human	unknown		10592235
DB06866	target	P00734	2147	Human	unknown		10592235
DB06868	target	P00734	2147	Human	unknown		10592235
DB06869	target	P00734	2147	Human	unknown		10592235
DB06878	target	P00734	2147	Human	unknown		10592235
DB06911	target	P00734	2147	Human	unknown		10592235
DB06919	target	P00734	2147	Human	unknown		10592235
DB06929	target	P00734	2147	Human	unknown		10592235
DB06936	target	P00734	2147	Human	unknown		10592235
DB06942	target	P00734	2147	Human	unknown		10592235
DB06947	target	P00734	2147	Human	unknown		10592235
DB06996	target	P00734	2147	Human	unknown		10592235
DB07005	target	P00734	2147	Human	unknown		10592235
DB07016	target	P00734	2147	Human	unknown		10592235
DB07027	target	P00734	2147	Human	unknown		10592235
DB07083	target	P00734	2147	Human	unknown		10592235
DB07088	target	P00734	2147	Human	unknown		10592235
DB07091	target	P00734	2147	Human	unknown		10592235
DB07095	target	P00734	2147	Human	unknown		10592235
DB07105	target	P00734	2147	Human	unknown		10592235
DB07120	target	P00734	2147	Human	unknown		10592235
DB07128	target	P00734	2147	Human	unknown		10592235
DB07131	target	P00734	2147	Human	unknown		10592235
DB07133	target	P00734	2147	Human	unknown		10592235
DB07143	target	P00734	2147	Human	unknown		10592235
DB07165	target	P00734	2147	Human	unknown		10592235
DB07190	target	P00734	2147	Human	unknown		10592235
DB07211	target	P00734	2147	Human	unknown		10592235
DB07277	target	P00734	2147	Human	unknown		10592235
DB07278	target	P00734	2147	Human	unknown		10592235
DB07279	target	P00734	2147	Human	unknown		10592235
DB07353	target	P00734	2147	Human	unknown		10592235
DB07366	target	P00734	2147	Human	unknown		10592235
DB07376	target	P00734	2147	Human	unknown		10592235
DB07400	target	P00734	2147	Human	unknown		10592235
DB07440	target	P00734	2147	Human	unknown		10592235
DB07461	target	P00734	2147	Human	unknown		10592235
DB07508	target	P00734	2147	Human	unknown		10592235
DB07515	target	P00734	2147	Human	unknown		10592235
DB07521	target	P00734	2147	Human	unknown		10592235
DB07522	target	P00734	2147	Human	unknown		10592235
DB07527	target	P00734	2147	Human	unknown		10592235
DB07548	target	P00734	2147	Human	unknown		10592235
DB07549	target	P00734	2147	Human	unknown		10592235
DB07550	target	P00734	2147	Human	unknown		10592235
DB07639	target	P00734	2147	Human	unknown		10592235
DB07658	target	P00734	2147	Human	unknown		10592235
DB07659	target	P00734	2147	Human	unknown		10592235
DB07660	target	P00734	2147	Human	unknown		10592235
DB07665	target	P00734	2147	Human	unknown		10592235
DB07718	target	P00734	2147	Human	unknown		10592235
DB07741	target	P00734	2147	Human	unknown		10592235
DB07796	target	P00734	2147	Human	unknown		10592235
DB07809	target	P00734	2147	Human	unknown		10592235
DB07897	target	P00734	2147	Human	unknown		10592235
DB07934	target	P00734	2147	Human	unknown		10592235
DB07944	target	P00734	2147	Human	unknown		10592235
DB07946	target	P00734	2147	Human	unknown		10592235
DB08061	target	P00734	2147	Human	unknown		10592235
DB08062	target	P00734	2147	Human	unknown		10592235
DB08152	target	P00734	2147	Human	unknown		10592235
DB08187	target	P00734	2147	Human	unknown		10592235
DB08254	target	P00734	2147	Human	unknown		10592235
DB08422	target	P00734	2147	Human	unknown		10592235
DB08546	target	P00734	2147	Human	unknown		10592235
DB08624	target	P00734	2147	Human	unknown		10592235
DB00002	target	P00533	1956	Human	yes	antagonist	10480573|10601294|10628369|11408594|11431346|11752352
DB00072	target	P00533	1956	Human	unknown		11752352
DB00281	target	P00533	1956	Human	unknown	antagonist	16551906
DB00317	target	P00533	1956	Human	yes	antagonist	10815932|11522647|11566608|11585753|11673690|11752352
DB00530	target	P00533	1956	Human	yes	antagonist	12498017|12517254|12814826|12820772|12840797|11752352
DB01259	target	P00533	1956	Human	yes	antagonist	12214266|14633707|14737100|14751502|14967461|15163842|15374980|20658522|16894399|20110044|18803986|11752352
DB01269	target	P00533	1956	Human	yes	suppressor	11894013|12620146|14967460|16012181|16857825|11255078|20623992|18343240|17355997|18503402|20481659|11752352
DB03496	target	P00533	1956	Human	unknown		11752352
DB04988	target	P00533	1956	Human	unknown		16963623
DB05101	target	P00533	1956	Human	unknown		
DB05294	target	P00533	1956	Human	unknown	inhibitor	
DB05324	target	P00533	1956	Human	unknown		
DB05374	target	P00533	1956	Human	unknown		
DB05424	target	P00533	1956	Human	unknown		
DB05774	target	P00533	1956	Human	unknown		
DB05900	target	P00533	1956	Human	unknown		
DB07602	target	P00533	1956	Human	unknown		10592235
DB07662	target	P00533	1956	Human	unknown		10592235
DB08916	target	P00533	1956	Human	yes	inhibitor	
DB00002	target	O75015	2215	Human	unknown		16336752
DB00005	target	O75015	2215	Human	unknown		10800083|17387033|15457442|15526004
DB00028	target	O75015	2215	Human	yes	antagonist	17911465|20441428|17351760
DB00051	target	O75015	2215	Human	unknown		17139284|17016423
DB00054	target	O75015	2215	Human	unknown		17139284|17016423
DB00056	target	O75015	2215	Human	unknown		9815888|9649182|7509291
DB00072	target	O75015	2215	Human	unknown		16109421|15471859|14666732|15868915|15680154
DB00073	target	O75015	2215	Human	unknown		15659493|16109421|16825493|17475906
DB00074	target	O75015	2215	Human	unknown		17139284|17016423
DB00075	target	O75015	2215	Human	unknown		10851527|10851498
DB00078	target	O75015	2215	Human	unknown		17139284|17016423
DB00081	target	O75015	2215	Human	unknown		17139284|17016423
DB00087	target	O75015	2215	Human	unknown		9337053|8707338|9020367
DB00092	target	O75015	2215	Human	unknown		11970990
DB00095	target	O75015	2215	Human	unknown		17139284|17016423
DB00108	target	O75015	2215	Human	unknown		17139284|17016423
DB00110	target	O75015	2215	Human	unknown		17139284|17016423
DB00111	target	O75015	2215	Human	unknown		1835892|2335478|8097750|2415663|1900882
DB00112	target	O75015	2215	Human	unknown		17139284|17016423
DB00002	target	P00736	715	Human	unknown		17139284|17016423
DB00005	target	P00736	715	Human	unknown		17139284|17016423
DB00051	target	P00736	715	Human	unknown		17139284|17016423
DB00054	target	P00736	715	Human	unknown		17139284|17016423
DB00056	target	P00736	715	Human	unknown		17139284|17016423
DB00072	target	P00736	715	Human	unknown		17139284|17016423
