drugbank_id	pubchem_cid
DB00014	5311128
DB00035	16051933
DB00050	25074887
DB00091	5280754
DB00093	14257662
DB00104	6400441
DB00114	1051
DB00117	6274
DB00118	34756
DB00119	1060
DB00120	6140
DB00121	171548
DB00122	305
DB00123	5962
DB00125	6322
DB00126	54670067
DB00127	1103
DB00128	5960
DB00129	6262
DB00130	5961
DB00131	6083
DB00132	5280934
DB00133	5951
DB00134	6137
DB00135	6057
DB00136	5280453
DB00137	5368396
DB00138	67678
DB00139	1110
DB00140	493570
DB00141	1738118
DB00142	33032
DB00143	124886
DB00144	6323481
DB00145	750
DB00146	5283731
DB00147	1050
DB00148	586
DB00149	6106
DB00150	6305
DB00151	5862
DB00152	1130
DB00153	5280793
DB00154	5280581
DB00155	9750
DB00156	69435
DB00157	439153
DB00158	6037
DB00159	446284
DB00160	5950
DB00161	6287
DB00162	445354
DB00163	14985
DB00165	1054
DB00166	864
DB00167	6306
DB00168	134601
DB00169	5280795
DB00170	4055
DB00171	14308007
DB00172	145742
DB00173	190
DB00174	6267
DB00175	54687
DB00176	5361192
DB00177	60846
DB00178	5362129
DB00179	71398
DB00180	82153
DB00181	2284
DB00182	3007
DB00183	444007
DB00184	942
DB00185	25137844
DB00186	3958
DB00187	59768
DB00188	387447
DB00189	5281077
DB00190	38101
DB00191	4771
DB00192	52195
DB00193	33741
DB00194	21704
DB00195	2369
DB00196	3365
DB00197	5591
DB00198	65028
DB00199	12560
DB00201	2519
DB00202	5314
DB00203	5212
DB00204	71329
DB00205	4993
DB00206	5770
DB00207	447043
DB00208	5472
DB00209	5596
DB00210	60164
DB00211	4195
DB00212	5462340
DB00213	4679
DB00214	41781
DB00215	2771
DB00216	77993
DB00217	2368
DB00218	152946
DB00219	5749
DB00220	64143
DB00221	3762
DB00222	3476
DB00223	71415
DB00224	5362440
DB00226	38521
DB00227	53232
DB00228	3226
DB00229	43708
DB00230	5486971
DB00231	5391
DB00232	4121
DB00233	4649
DB00234	65856
DB00235	4197
DB00236	4842
DB00237	2479
DB00238	4463
DB00239	5353853
DB00240	5311000
DB00241	2481
DB00242	20279
DB00243	56959
DB00244	4075
DB00245	1201549
DB00246	60854
DB00247	6540428
DB00248	54746
DB00249	5905
DB00250	2955
DB00251	441383
DB00252	1775
DB00253	247839
DB00254	54671203
DB00255	448537
DB00256	54707177
DB00257	2812
DB00258	6116
DB00259	5333
DB00260	6234
DB00261	2182
DB00262	2578
DB00263	5344
DB00264	4171
DB00265	688020
DB00266	54676038
DB00267	5361486
DB00268	5095
DB00269	11289
DB00270	3784
DB00271	2140
DB00272	7741
DB00273	5284627
DB00274	42008
DB00275	158781
DB00276	2179
DB00277	2153
DB00278	152951
DB00279	5920
DB00280	3114
DB00281	3676
DB00282	4674
DB00283	26987
DB00284	441184
DB00285	5656
DB00286	23667301
DB00287	5282226
DB00288	443958
DB00289	54841
DB00290	5360373
DB00291	2708
DB00292	667484
DB00293	104758
DB00294	6917715
DB00295	5288826
DB00296	175805
DB00297	2474
DB00298	3033538
DB00299	4725
DB00300	464205
DB00301	21319
DB00302	5526
DB00303	150610
DB00304	40973
DB00305	5746
DB00306	8275
DB00307	82146
DB00308	60753
DB00309	40839
DB00310	2732
DB00311	3295
DB00312	4737
DB00313	3121
DB00314	3000502
DB00315	60857
DB00316	1983
DB00317	123631
DB00318	5284371
DB00319	43672
DB00320	10531
DB00321	2160
DB00322	5790
DB00323	4659569
DB00324	9878
DB00326	62859
DB00327	5284570
DB00328	3715
DB00330	14052
DB00331	4091
DB00332	657308
DB00333	4095
DB00334	4585
DB00335	2249
DB00336	5353356
DB00337	17753757
DB00338	4594
DB00339	1046
DB00340	4167
DB00341	2678
DB00342	5405
DB00343	39186
DB00344	4976
DB00345	2148
DB00346	2092
DB00347	5576
DB00348	115355
DB00349	2789
DB00350	4201
DB00351	200136
DB00352	2723601
DB00353	8226
DB00354	6729
DB00355	5459211
DB00356	2733
DB00357	2145
DB00358	4046
DB00359	5215
DB00360	1125
DB00361	44424639
DB00362	166548
DB00363	2818
DB00365	72474
DB00366	3162
DB00367	13109
DB00368	439260
DB00369	60613
DB00370	4205
DB00371	4064
DB00372	5440
DB00373	5478
DB00374	6918140
DB00375	62816
DB00376	5572
DB00377	148211
DB00378	9051
DB00379	4178
DB00380	71384
DB00381	2162
DB00382	1935
DB00383	4642
DB00384	5546
DB00385	41744
DB00387	4919
DB00388	6041
DB00389	31072
DB00390	2724385
DB00391	5355
DB00392	3290
DB00393	4497
DB00394	21700
DB00395	2576
DB00396	5994
DB00397	26934
DB00398	216239
DB00399	68740
DB00400	441140
DB00401	4499
DB00402	969472
DB00403	16129675
DB00404	2118
DB00405	16960
DB00406	3468
DB00407	772
DB00408	3964
DB00409	54477
DB00410	446596
DB00411	53627818
DB00412	77999
DB00413	119570
DB00414	1989
DB00415	6249
DB00416	24244
DB00417	6869
DB00418	5193
